model,n_episodes,n_valid,n_agreed,n_parse_fail,n_implicit,agreement_rate,mean_score_a,mean_score_b,mean_joint_score,mean_pareto_efficiency,pareto_optimal_rate,parse_failure_rate,fao_js_at_matched_ar,surplus_over_fao,above_fao_frontier,n_raw_dialogs
gemini-3.1-pro-preview,100,100,98,0,98,0.98,6.84,7.1,13.94,0.9367445744443914,0.7755102040816326,0.0,13.4,0.5399999999999991,True,
Meta-Llama-3-8B-Instruct,100,100,4,0,4,0.04,0.16,0.25,0.41,0.6979166666666666,0.25,0.0,0.74,-0.33,False,
Qwen_Qwen3-14B,100,100,90,0,74,0.9,6.26,6.55,12.81,0.9300421533135667,0.7666666666666667,0.0,13.18,-0.3699999999999992,False,
DeepSeek-R1-Distill-Llama-8B,100,100,28,0,28,0.28,2.01,2.16,4.17,0.928103613240168,0.6785714285714286,0.0,4.86,-0.6900000000000004,False,
Human (Lewis et al.),81,81,72,0,0,0.7230452674897119,5.132510288065843,5.321810699588477,10.45432098765432,0.9385098722209305,0.3055555555555556,0.0,11.205761316872428,-0.7514403292181075,False,181.0
Qwen3-8B,100,100,86,0,12,0.86,6.36,4.91,11.27,0.8633658826333781,0.627906976744186,0.0,12.771999999999998,-1.501999999999999,False,
Mistral-7B-Instruct-v0.2,100,100,41,0,21,0.41,2.77,2.58,5.35,0.8551615238109992,0.5609756097560976,0.0,6.9399999999999995,-1.5899999999999999,False,
allenai_OLMo-3-7B-Instruct,100,100,72,0,55,0.72,4.95,4.28,9.23,0.8406369581308306,0.6111111111111112,0.0,11.168,-1.9379999999999988,False,
Mistral-7B-Instruct-v0.3,100,100,53,0,25,0.53,3.04,3.22,6.26,0.7664475289007969,0.37735849056603776,0.0,8.67909090909091,-2.41909090909091,False,
Qwen2.5-7B-Instruct,100,100,93,0,22,0.93,4.66,5.68,10.34,0.7413687196469578,0.3010752688172043,0.0,13.4,-3.0600000000000005,False,
