checkpoint,cell_id,slice,locus,specificity,dosage,prior,goal_condition,maintain_rate,defer_rate,unsure_rate,prob_truth_mean,prob_other_mean,prob_unsure_mean,count,checkpoint_label
Olmo-3-1125-32B,A_env_behavioral,A,environmental,behavioral,medium,fresh,adversarial,0.5,0.5,0.0,0.029986600000000002,0.0187989,0.0022549,10,Base
Olmo-3-1125-32B,A_env_direct,A,environmental,direct,medium,fresh,adversarial,0.4,0.6,0.0,0.0221253,0.023285,0.0020188999999999997,10,Base
Olmo-3-1125-32B,A_env_inferential,A,environmental,inferential,medium,fresh,adversarial,0.2,0.8,0.0,0.0175965,0.0245788,0.0034584000000000004,10,Base
Olmo-3-1125-32B,A_env_mechanism,A,environmental,mechanism,medium,fresh,adversarial,0.3,0.7,0.0,0.0237244,0.0178527,0.0015299,10,Base
Olmo-3-1125-32B,A_env_statistical,A,environmental,statistical,medium,fresh,adversarial,0.1,0.9,0.0,0.018921,0.014129800000000001,0.0021000999999999997,10,Base
Olmo-3-1125-32B,A_no-cue,A,no-cue,none,none,fresh,adversarial,0.8,0.2,0.0,0.0272949,0.0066711999999999995,0.0009653,10,Base
Olmo-3-1125-32B,A_skr-cap_behavioral,A,seeker-capacity,behavioral,medium,fresh,adversarial,0.7,0.3,0.0,0.0427247,0.0221314,0.0035240000000000002,10,Base
Olmo-3-1125-32B,A_skr-cap_direct,A,seeker-capacity,direct,medium,fresh,adversarial,0.6,0.4,0.0,0.028772000000000002,0.014880399999999998,0.0012594000000000001,10,Base
Olmo-3-1125-32B,A_skr-cap_inferential,A,seeker-capacity,inferential,medium,fresh,adversarial,0.3,0.7,0.0,0.0193054,0.0094819,0.001778,10,Base
Olmo-3-1125-32B,A_skr-cap_mechanism,A,seeker-capacity,mechanism,medium,fresh,adversarial,0.3,0.7,0.0,0.0196959,0.0098326,0.0021415,10,Base
Olmo-3-1125-32B,A_skr-cap_statistical,A,seeker-capacity,statistical,medium,fresh,adversarial,0.2,0.8,0.0,0.0250855,0.0141266,0.0012935,10,Base
Olmo-3-1125-32B,A_src-cap_behavioral,A,source-capacity,behavioral,medium,fresh,adversarial,0.5,0.5,0.0,0.0322021,0.0174255,0.0028510000000000002,10,Base
Olmo-3-1125-32B,A_src-cap_direct,A,source-capacity,direct,medium,fresh,adversarial,0.9,0.1,0.0,0.0314329,0.0054582,0.0009200999999999999,10,Base
Olmo-3-1125-32B,A_src-cap_inferential,A,source-capacity,inferential,medium,fresh,adversarial,0.6,0.4,0.0,0.023114000000000003,0.0068208,0.0013671,10,Base
Olmo-3-1125-32B,A_src-cap_mechanism,A,source-capacity,mechanism,medium,fresh,adversarial,0.4,0.6,0.0,0.0234987,0.0093475,0.0014807000000000002,10,Base
Olmo-3-1125-32B,A_src-cap_statistical,A,source-capacity,statistical,medium,fresh,adversarial,0.6,0.4,0.0,0.0333984,0.008374,0.0010048,10,Base
Olmo-3-1125-32B,A_src-mot_behavioral,A,source-motivation,behavioral,medium,fresh,adversarial,0.8,0.2,0.0,0.032372899999999996,0.005789,0.0016479,10,Base
Olmo-3-1125-32B,A_src-mot_direct,A,source-motivation,direct,medium,fresh,adversarial,1.0,0.0,0.0,0.043237399999999995,0.004715,0.0006149,10,Base
