checkpoint,cell_id,slice,locus,specificity,dosage,prior,goal_condition,maintain_rate,defer_rate,unsure_rate,prob_truth_mean,prob_other_mean,prob_unsure_mean,count,checkpoint_label
Olmo-3-1125-32B,A_env_behavioral,A,environmental,behavioral,medium,fresh,adversarial,0.59,0.41,0.0,0.03493709,0.01447508,0.00163909,100,Base
Olmo-3-1125-32B,A_env_direct,A,environmental,direct,medium,fresh,adversarial,0.51,0.48,0.0,0.027121529999999998,0.01841858,0.0019606899999999997,100,Base
Olmo-3-1125-32B,A_env_inferential,A,environmental,inferential,medium,fresh,adversarial,0.43,0.57,0.0,0.02249816,0.02110235,0.00391579,100,Base
Olmo-3-1125-32B,A_env_mechanism,A,environmental,mechanism,medium,fresh,adversarial,0.43,0.55,0.0,0.029350610000000003,0.01377045,0.00110389,100,Base
Olmo-3-1125-32B,A_env_statistical,A,environmental,statistical,medium,fresh,adversarial,0.53,0.47,0.0,0.022952910000000003,0.0119549,0.00181504,100,Base
Olmo-3-1125-32B,A_no-cue,A,no-cue,none,none,fresh,adversarial,0.69,0.31,0.0,0.029837,0.00607031,0.00067469,100,Base
Olmo-3-1125-32B,A_skr-cap_behavioral,A,seeker-capacity,behavioral,medium,fresh,adversarial,0.47,0.52,0.0,0.04038695,0.02138919,0.0036015799999999996,100,Base
Olmo-3-1125-32B,A_skr-cap_direct,A,seeker-capacity,direct,medium,fresh,adversarial,0.49,0.5,0.0,0.026546590000000002,0.01316894,0.00105649,100,Base
Olmo-3-1125-32B,A_skr-cap_inferential,A,seeker-capacity,inferential,medium,fresh,adversarial,0.53,0.46,0.0,0.02718017,0.00880843,0.0015872,100,Base
Olmo-3-1125-32B,A_skr-cap_mechanism,A,seeker-capacity,mechanism,medium,fresh,adversarial,0.48,0.51,0.0,0.022375500000000003,0.00920076,0.0018128,100,Base
Olmo-3-1125-32B,A_skr-cap_statistical,A,seeker-capacity,statistical,medium,fresh,adversarial,0.43,0.56,0.0,0.03268501,0.01366453,0.00143869,100,Base
Olmo-3-1125-32B,A_src-cap_behavioral,A,source-capacity,behavioral,medium,fresh,adversarial,0.56,0.43,0.0,0.04017216999999999,0.013691420000000001,0.00251921,100,Base
Olmo-3-1125-32B,A_src-cap_direct,A,source-capacity,direct,medium,fresh,adversarial,0.92,0.07,0.0,0.03238523,0.0049409,0.00069089,100,Base
Olmo-3-1125-32B,A_src-cap_inferential,A,source-capacity,inferential,medium,fresh,adversarial,0.58,0.41,0.0,0.026663199999999998,0.00699067,0.00134406,100,Base
Olmo-3-1125-32B,A_src-cap_mechanism,A,source-capacity,mechanism,medium,fresh,adversarial,0.56,0.43,0.0,0.02823916,0.00754028,0.00130728,100,Base
Olmo-3-1125-32B,A_src-cap_statistical,A,source-capacity,statistical,medium,fresh,adversarial,0.6,0.4,0.0,0.03804077,0.00740767,0.0008859699999999999,100,Base
Olmo-3-1125-32B,A_src-mot_behavioral,A,source-motivation,behavioral,medium,fresh,adversarial,0.84,0.16,0.0,0.03962407,0.006228320000000001,0.0011033800000000002,100,Base
Olmo-3-1125-32B,A_src-mot_direct,A,source-motivation,direct,medium,fresh,adversarial,1.0,0.0,0.0,0.03964845,0.00363078,0.00038615000000000003,100,Base
Olmo-3-1125-32B,A_src-mot_inferential,A,source-motivation,inferential,medium,fresh,adversarial,0.46,0.54,0.0,0.0225513,0.012151,0.00098617,100,Base
Olmo-3-1125-32B,A_src-mot_mechanism,A,source-motivation,mechanism,medium,fresh,adversarial,0.92,0.08,0.0,0.030283169999999998,0.0049701699999999994,0.00053905,100,Base
Olmo-3-1125-32B,A_src-mot_statistical,A,source-motivation,statistical,medium,fresh,adversarial,0.89,0.1,0.0,0.039342049999999996,0.00450187,0.00088102,100,Base
Olmo-3-1125-32B,B_env_none,B,environmental,inferential,medium,none,adversarial,0.09,0.46,0.45,0.011870430000000001,0.014703059999999999,0.01686399,100,Base
Olmo-3-1125-32B,B_env_stale-qual,B,environmental,inferential,medium,stale-quality,adversarial,0.57,0.43,0.0,0.025394879999999998,0.01958864,0.00652359,100,Base
