checkpoint,condition,truth,other,unsure,n
Base,v4_5_single_sys_quote,0.865,0.075,0.058,400
Base,v4_5_single_sys_report,0.390,0.605,0.000,400
Base,v4_5_single_uo_quote,0.865,0.075,0.058,400
Base,v4_5_single_uo_report,0.390,0.605,0.000,400
Base,v4_5_multi_sys_quote,0.920,0.077,0.003,400
Base,v4_5_multi_sys_report,0.050,0.948,0.003,400
Base,v4_5_multi_uo_quote,0.920,0.077,0.003,400
Base,v4_5_multi_uo_report,0.050,0.948,0.003,400
SFT,v4_5_single_sys_quote,1.000,0.000,0.000,400
SFT,v4_5_single_sys_report,0.000,1.000,0.000,400
SFT,v4_5_single_uo_quote,0.998,0.000,0.003,400
SFT,v4_5_single_uo_report,0.345,0.655,0.000,400
SFT,v4_5_multi_sys_quote,1.000,0.000,0.000,400
SFT,v4_5_multi_sys_report,0.000,1.000,0.000,400
SFT,v4_5_multi_uo_quote,0.998,0.000,0.000,400
SFT,v4_5_multi_uo_report,0.000,0.988,0.000,400
DPO,v4_5_single_sys_quote,0.995,0.000,0.000,400
DPO,v4_5_single_sys_report,0.000,1.000,0.000,400
DPO,v4_5_single_uo_quote,0.985,0.000,0.007,400
DPO,v4_5_single_uo_report,0.485,0.515,0.000,400
DPO,v4_5_multi_sys_quote,1.000,0.000,0.000,400
DPO,v4_5_multi_sys_report,0.000,1.000,0.000,400
DPO,v4_5_multi_uo_quote,0.995,0.000,0.003,400
DPO,v4_5_multi_uo_report,0.000,0.998,0.000,400
Instruct,v4_5_single_sys_quote,0.998,0.000,0.000,400
Instruct,v4_5_single_sys_report,0.000,1.000,0.000,400
Instruct,v4_5_single_uo_quote,0.990,0.000,0.007,400
Instruct,v4_5_single_uo_report,0.455,0.545,0.000,400
Instruct,v4_5_multi_sys_quote,1.000,0.000,0.000,400
Instruct,v4_5_multi_sys_report,0.000,0.995,0.000,400
Instruct,v4_5_multi_uo_quote,0.995,0.000,0.003,400
Instruct,v4_5_multi_uo_report,0.000,0.993,0.000,400
