checkpoint,condition,total,null,null_rate,flag
Base,v4_5_single_sys_quote,5200,20,0.0038461538461538464,
Base,v4_5_single_sys_report,5200,13,0.0025,
Base,v4_5_single_uo_quote,5200,20,0.0038461538461538464,
Base,v4_5_single_uo_report,5200,13,0.0025,
Base,v4_5_multi_sys_quote,5200,1,0.0001923076923076923,
Base,v4_5_multi_sys_report,5200,1,0.0001923076923076923,
Base,v4_5_multi_uo_quote,5200,1,0.0001923076923076923,
Base,v4_5_multi_uo_report,5200,1,0.0001923076923076923,
SFT,v4_5_single_sys_quote,5200,3,0.000576923076923077,
SFT,v4_5_single_sys_report,5200,4,0.0007692307692307692,
SFT,v4_5_single_uo_quote,5200,1,0.0001923076923076923,
SFT,v4_5_single_uo_report,5200,1,0.0001923076923076923,
SFT,v4_5_multi_sys_quote,5200,0,0.0,
SFT,v4_5_multi_sys_report,5200,0,0.0,
SFT,v4_5_multi_uo_quote,5200,16,0.003076923076923077,
SFT,v4_5_multi_uo_report,5200,24,0.004615384615384616,
DPO,v4_5_single_sys_quote,5200,9,0.0017307692307692308,
DPO,v4_5_single_sys_report,5200,13,0.0025,
DPO,v4_5_single_uo_quote,5200,3,0.000576923076923077,
DPO,v4_5_single_uo_report,5200,2,0.0003846153846153846,
DPO,v4_5_multi_sys_quote,5200,25,0.004807692307692308,
DPO,v4_5_multi_sys_report,5200,15,0.0028846153846153848,
DPO,v4_5_multi_uo_quote,5200,43,0.00826923076923077,
DPO,v4_5_multi_uo_report,5200,21,0.0040384615384615385,
Instruct,v4_5_single_sys_quote,5200,1,0.0001923076923076923,
Instruct,v4_5_single_sys_report,5200,1,0.0001923076923076923,
Instruct,v4_5_single_uo_quote,5200,1,0.0001923076923076923,
Instruct,v4_5_single_uo_report,5200,0,0.0,
Instruct,v4_5_multi_sys_quote,5200,26,0.005,
Instruct,v4_5_multi_sys_report,5200,36,0.006923076923076923,
Instruct,v4_5_multi_uo_quote,5200,9,0.0017307692307692308,
Instruct,v4_5_multi_uo_report,5200,12,0.002307692307692308,
