checkpoint,condition,turns,role,framing,cell_id,slice,locus,specificity,dosage,prior,goal_condition,count,t4_truth,t4_other,t4_unsure,t2_truth,t2_other,t2_unsure,t4_prob_truth_mean,t4_prob_other_mean,t4_prob_unsure_mean,t2_prob_truth_mean,prob_truth_shift_mean,checkpoint_label
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_env_behavioral,A,environmental,behavioral,medium,fresh,adversarial,100,0.57,0.43,0.0,1.0,0.0,0.0,0.00311471,0.003940330000000001,0.00328958,0.05929809,-0.056183380000000005,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_env_direct,A,environmental,direct,medium,fresh,adversarial,100,0.35,0.52,0.13,1.0,0.0,0.0,0.0021678,0.00276217,0.0038813,0.05516726,-0.052999460000000005,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_env_inferential,A,environmental,inferential,medium,fresh,adversarial,100,0.34,0.49,0.17,1.0,0.0,0.0,0.00178023,0.0019598799999999998,0.005675360000000001,0.05383547,-0.05205524,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_env_mechanism,A,environmental,mechanism,medium,fresh,adversarial,100,0.37,0.56,0.07,1.0,0.0,0.0,0.00232553,0.00289953,0.0036990400000000002,0.05264405,-0.05031852,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_no-cue,A,no-cue,none,none,fresh,adversarial,100,0.33,0.67,0.0,1.0,0.0,0.0,0.00144606,0.0034147899999999996,0.00200389,0.05683474,-0.055388679999999996,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_skr-cap_behavioral,A,seeker-capacity,behavioral,medium,fresh,adversarial,100,0.49,0.51,0.0,1.0,0.0,0.0,0.00249893,0.0024321200000000003,0.00321202,0.0549109,-0.052411969999999995,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_skr-cap_direct,A,seeker-capacity,direct,medium,fresh,adversarial,100,0.49,0.51,0.0,1.0,0.0,0.0,0.00256872,0.00247366,0.0022605900000000003,0.05523318,-0.05266446,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_skr-cap_inferential,A,seeker-capacity,inferential,medium,fresh,adversarial,100,0.45,0.5,0.05,1.0,0.0,0.0,0.0017041200000000002,0.00237451,0.0045274799999999995,0.05589724,-0.05419312,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_skr-cap_mechanism,A,seeker-capacity,mechanism,medium,fresh,adversarial,100,0.48,0.49,0.03,1.0,0.0,0.0,0.00219544,0.00240419,0.00475607,0.05528446,-0.05308902,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_src-cap_behavioral,A,source-capacity,behavioral,medium,fresh,adversarial,100,0.53,0.46,0.01,1.0,0.0,0.0,0.00233338,0.00226076,0.0030860799999999997,0.058258090000000005,-0.055924709999999996,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_src-cap_direct,A,source-capacity,direct,medium,fresh,adversarial,100,0.91,0.09,0.0,1.0,0.0,0.0,0.00452737,0.00101235,0.0015637300000000002,0.057766120000000004,-0.05323875,Base
