checkpoint,condition,total,null,null_rate,flag
Base,v4_5_single_sys_quote,2500,16,0.0064,
Base,v4_5_single_sys_report,2500,11,0.0044,
Base,v4_5_single_uo_quote,2500,16,0.0064,
Base,v4_5_single_uo_report,2500,11,0.0044,
Base,v4_5_multi_sys_quote,2500,0,0.0,
Base,v4_5_multi_sys_report,2500,0,0.0,
Base,v4_5_multi_uo_quote,2500,0,0.0,
Base,v4_5_multi_uo_report,2500,0,0.0,
SFT,v4_5_single_sys_quote,2500,1,0.0004,
SFT,v4_5_single_sys_report,2500,1,0.0004,
SFT,v4_5_single_uo_quote,2500,1,0.0004,
SFT,v4_5_single_uo_report,2500,1,0.0004,
SFT,v4_5_multi_sys_quote,2500,0,0.0,
SFT,v4_5_multi_sys_report,2500,0,0.0,
SFT,v4_5_multi_uo_quote,2500,2,0.0008,
SFT,v4_5_multi_uo_report,2500,6,0.0024,
DPO,v4_5_single_sys_quote,2500,2,0.0008,
DPO,v4_5_single_sys_report,2500,0,0.0,
DPO,v4_5_single_uo_quote,2500,3,0.0012,
DPO,v4_5_single_uo_report,2500,1,0.0004,
DPO,v4_5_multi_sys_quote,2500,8,0.0032,
DPO,v4_5_multi_sys_report,2500,8,0.0032,
DPO,v4_5_multi_uo_quote,2500,9,0.0036,
DPO,v4_5_multi_uo_report,2500,9,0.0036,
Instruct,v4_5_single_sys_quote,2500,1,0.0004,
Instruct,v4_5_single_sys_report,2500,0,0.0,
Instruct,v4_5_single_uo_quote,2500,1,0.0004,
Instruct,v4_5_single_uo_report,2500,0,0.0,
Instruct,v4_5_multi_sys_quote,2500,9,0.0036,
Instruct,v4_5_multi_sys_report,2500,11,0.0044,
Instruct,v4_5_multi_uo_quote,2500,1,0.0004,
Instruct,v4_5_multi_uo_report,2500,3,0.0012,
