checkpoint,condition,turns,role,framing,cell_id,slice,locus,specificity,dosage,prior,goal_condition,count,t4_truth,t4_other,t4_unsure,t2_truth,t2_other,t2_unsure,t4_prob_truth_mean,t4_prob_other_mean,t4_prob_unsure_mean,t2_prob_truth_mean,prob_truth_shift_mean,checkpoint_label
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_env_behavioral,A,environmental,behavioral,medium,fresh,adversarial,10,0.5,0.5,0.0,1.0,0.0,0.0,0.0026421,0.005136,0.0033967999999999997,0.0592408,-0.0565987,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_env_direct,A,environmental,direct,medium,fresh,adversarial,10,0.4,0.5,0.1,1.0,0.0,0.0,0.0017529,0.0025582,0.0042007,0.052356,-0.0506031,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_env_inferential,A,environmental,inferential,medium,fresh,adversarial,10,0.2,0.7,0.1,1.0,0.0,0.0,0.0018866,0.0026707000000000002,0.0070754,0.046533000000000005,-0.0446464,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_env_mechanism,A,environmental,mechanism,medium,fresh,adversarial,10,0.2,0.6,0.2,1.0,0.0,0.0,0.0023537,0.0034466999999999996,0.0046792,0.0491821,-0.046828400000000006,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_env_statistical,A,environmental,statistical,medium,fresh,adversarial,10,0.1,0.9,0.0,1.0,0.0,0.0,0.0025759999999999997,0.0032737999999999995,0.0028063999999999997,0.0445433,-0.0419673,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_no-cue,A,no-cue,none,none,fresh,adversarial,10,0.3,0.7,0.0,1.0,0.0,0.0,0.0012217999999999999,0.0026529,0.0017373,0.053479,-0.052257200000000004,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_skr-cap_behavioral,A,seeker-capacity,behavioral,medium,fresh,adversarial,10,0.7,0.3,0.0,1.0,0.0,0.0,0.0024282,0.0016233999999999999,0.0031776,0.0698121,-0.0673839,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_skr-cap_direct,A,seeker-capacity,direct,medium,fresh,adversarial,10,0.6,0.4,0.0,1.0,0.0,0.0,0.0022053999999999997,0.0015736,0.0018043,0.059899999999999995,-0.057694600000000006,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_skr-cap_inferential,A,seeker-capacity,inferential,medium,fresh,adversarial,10,0.2,0.7,0.1,1.0,0.0,0.0,0.0017745,0.0027481,0.0051192,0.0505858,-0.0488113,Base
Olmo-3-1125-32B,v4_5_multi_sys_quote,multi,sys,quote,A_skr-cap_mechanism,A,seeker-capacity,mechanism,medium,fresh,adversarial,10,0.1,0.7,0.2,1.0,0.0,0.0,0.001675,0.00242,0.0045432,0.052246,-0.050571,Base
