checkpoint,condition,truth,other,unsure,n
Base,v4_5_single_sys_quote,0.825,0.125,0.050,40
Base,v4_5_single_sys_report,0.500,0.500,0.000,40
Base,v4_5_single_uo_quote,0.825,0.125,0.050,40
Base,v4_5_single_uo_report,0.500,0.500,0.000,40
Base,v4_5_multi_sys_quote,0.875,0.125,0.000,40
Base,v4_5_multi_sys_report,0.050,0.950,0.000,40
Base,v4_5_multi_uo_quote,0.875,0.125,0.000,40
Base,v4_5_multi_uo_report,0.050,0.950,0.000,40
SFT,v4_5_single_sys_quote,1.000,0.000,0.000,40
SFT,v4_5_single_sys_report,0.000,1.000,0.000,40
SFT,v4_5_single_uo_quote,0.975,0.000,0.025,40
SFT,v4_5_single_uo_report,0.425,0.575,0.000,40
SFT,v4_5_multi_sys_quote,1.000,0.000,0.000,40
SFT,v4_5_multi_sys_report,0.000,1.000,0.000,40
SFT,v4_5_multi_uo_quote,1.000,0.000,0.000,40
SFT,v4_5_multi_uo_report,0.000,0.975,0.000,40
DPO,v4_5_single_sys_quote,1.000,0.000,0.000,40
DPO,v4_5_single_sys_report,0.000,1.000,0.000,40
DPO,v4_5_single_uo_quote,0.925,0.000,0.075,40
DPO,v4_5_single_uo_report,0.575,0.425,0.000,40
DPO,v4_5_multi_sys_quote,1.000,0.000,0.000,40
DPO,v4_5_multi_sys_report,0.000,1.000,0.000,40
DPO,v4_5_multi_uo_quote,0.975,0.000,0.025,40
DPO,v4_5_multi_uo_report,0.000,1.000,0.000,40
Instruct,v4_5_single_sys_quote,1.000,0.000,0.000,40
Instruct,v4_5_single_sys_report,0.000,1.000,0.000,40
Instruct,v4_5_single_uo_quote,0.950,0.000,0.050,40
Instruct,v4_5_single_uo_report,0.525,0.475,0.000,40
Instruct,v4_5_multi_sys_quote,1.000,0.000,0.000,40
Instruct,v4_5_multi_sys_report,0.000,0.975,0.000,40
Instruct,v4_5_multi_uo_quote,0.975,0.000,0.025,40
Instruct,v4_5_multi_uo_report,0.000,1.000,0.000,40
