checkpoint,condition,total,null,null_rate,flag
Base,v5_1_single_sys_quote,100,0,0.0,
Base,v5_1_single_sys_report,100,0,0.0,
Base,v5_1_single_uo_quote,100,0,0.0,
Base,v5_1_single_uo_report,100,0,0.0,
Base,v5_1_multi_sys_quote,100,0,0.0,
Base,v5_1_multi_sys_report,100,2,0.02,
Base,v5_1_multi_uo_quote,100,0,0.0,
Base,v5_1_multi_uo_report,100,2,0.02,
SFT,v5_1_single_sys_quote,100,2,0.02,
SFT,v5_1_single_sys_report,100,0,0.0,
SFT,v5_1_single_uo_quote,100,0,0.0,
SFT,v5_1_single_uo_report,100,0,0.0,
SFT,v5_1_multi_sys_quote,100,17,0.17,
SFT,v5_1_multi_sys_report,100,5,0.05,
SFT,v5_1_multi_uo_quote,100,9,0.09,
SFT,v5_1_multi_uo_report,100,1,0.01,
DPO,v5_1_single_sys_quote,100,15,0.15,
DPO,v5_1_single_sys_report,100,3,0.03,
DPO,v5_1_single_uo_quote,100,1,0.01,
DPO,v5_1_single_uo_report,100,0,0.0,
DPO,v5_1_multi_sys_quote,100,45,0.45,>20%
DPO,v5_1_multi_sys_report,100,28,0.28,>20%
DPO,v5_1_multi_uo_quote,100,36,0.36,>20%
DPO,v5_1_multi_uo_report,100,16,0.16,
RLVR,v5_1_single_sys_quote,100,24,0.24,>20%
RLVR,v5_1_single_sys_report,100,10,0.1,
RLVR,v5_1_single_uo_quote,100,6,0.06,
RLVR,v5_1_single_uo_report,100,7,0.07,
RLVR,v5_1_multi_sys_quote,100,44,0.44,>20%
RLVR,v5_1_multi_sys_report,100,20,0.2,
RLVR,v5_1_multi_uo_quote,100,32,0.32,>20%
RLVR,v5_1_multi_uo_report,100,15,0.15,
