checkpoint,level,outcome,n,pearson_r,pearson_p,spearman_rho,spearman_p
Base,trial,flip,4170,-0.10483668306722424,1.1483611002036086e-11,-0.09787835516239023,2.3909435870351157e-10
Base,trial,shift,4170,-0.8506090810404746,0.0,-0.8886988816360282,0.0
Base,trial,shift_norm,4170,-0.16803171701791342,8.730024016886218e-28,-0.15864443103427928,6.564243332617521e-25
DPO,trial,flip,4170,0.005017564939476676,0.7460009861720274,0.006318649720171147,0.6833383240279916
DPO,trial,shift,4170,-0.5312352349797628,1.8360510147637918e-302,-0.5313186089355406,1.419405167443297e-302
DPO,trial,shift_norm,4170,0.11983095022362078,8.241057913822058e-15,-0.029723748063733412,0.05494946568939943
RLVR,trial,flip,4170,-0.04678779681753141,0.002510306616642876,-0.05231395307657948,0.0007261703094240455
RLVR,trial,shift,4170,-0.4384347798286207,1.7488633821600728e-195,-0.38649213646918534,1.1947057845025936e-148
RLVR,trial,shift_norm,4170,0.15738990147291776,1.5438171085543651e-24,0.09329723487472699,1.5790134742767554e-09
SFT,trial,flip,4170,-0.013606793254865992,0.3797032378912737,-0.022341112718579727,0.14917917364708047
SFT,trial,shift,4170,-0.6359288637605848,0.0,-0.6838682906880973,0.0
SFT,trial,shift_norm,4170,0.101434893163219,5.1967389958556553e-11,-0.059935289010873485,0.00010764743699184865
Base,question-aggregate,flip,360,-0.16564131076449065,0.0016121156538057443,-0.07884387450043029,0.13541628289567373
Base,question-aggregate,shift,360,-0.8832476084239181,8.458202018979784e-120,-0.8816825852157606,7.91680375984115e-119
Base,question-aggregate,shift_norm,360,-0.19027919085106915,0.0002823629112981201,-0.18981656106098727,0.00029236435432987754
DPO,question-aggregate,flip,360,-0.007723489638100468,0.8838934063367468,-0.035506551430835684,0.5018649404551547
DPO,question-aggregate,shift,360,-0.7059589642353697,1.3870998714117681e-55,-0.7360699799638372,1.2183976486082862e-62
DPO,question-aggregate,shift_norm,360,0.1140472709174133,0.03050792196537213,0.07299310437066128,0.16697958627781515
RLVR,question-aggregate,flip,360,-0.09069723531812511,0.08572048461854903,-0.09734100860135714,0.065055586943102
RLVR,question-aggregate,shift,360,-0.6252047600133551,1.9431132718815383e-40,-0.6313390575723447,1.96926858600548e-41
RLVR,question-aggregate,shift_norm,360,0.1605685378726724,0.0022443859049782818,0.16300796598327358,0.0019164640907624994
SFT,question-aggregate,flip,360,-0.005265223661491882,0.9206985321865204,-0.04038560820704004,0.4449209689235126
SFT,question-aggregate,shift,360,-0.8466145830215699,4.2976749030955007e-100,-0.8283808020882897,4.0099273108709484e-92
SFT,question-aggregate,shift_norm,360,0.057888681003753155,0.27331538073599043,0.04952533388409218,0.3487666636411355
