question_domain,other,balanced,total,pct_balanced
miscellaneous,38,40,78,51.282051282051285
prehistory,22,11,33,33.333333333333336
philosophy,23,6,29,20.689655172413794
high_school_biology,23,5,28,17.857142857142858
nutrition,15,9,24,37.5
conceptual_physics,17,5,22,22.727272727272727
high_school_geography,17,2,19,10.526315789473685
high_school_world_history,19,0,19,0.0
anatomy,16,1,17,5.882352941176471
world_religions,14,3,17,17.647058823529413
high_school_us_history,12,1,13,7.6923076923076925
jurisprudence,6,6,12,50.0
college_biology,8,4,12,33.333333333333336
high_school_european_history,11,0,11,0.0
global_facts,8,0,8,0.0
astronomy,5,2,7,28.571428571428573
high_school_chemistry,5,1,6,16.666666666666668
high_school_physics,4,0,4,0.0
college_chemistry,1,0,1,0.0
