checkpoint_label,question_id,n_cues
Base,q0001,18
Base,q0003,18
Base,q0004,9
Base,q0005,13
Base,q0006,18
Base,q0009,4
Base,q0010,17
Base,q0011,1
Base,q0012,7
Base,q0013,9
Base,q0014,19
Base,q0015,17
Base,q0017,3
Base,q0018,18
Base,q0019,18
Base,q0020,1
Base,q0021,1
Base,q0022,3
Base,q0023,9
Base,q0024,19
Base,q0025,10
Base,q0028,19
Base,q0029,7
Base,q0031,19
Base,q0032,15
Base,q0034,17
Base,q0035,17
Base,q0036,2
Base,q0038,11
Base,q0039,18
Base,q0040,1
Base,q0041,1
Base,q0042,9
Base,q0044,13
Base,q0045,3
Base,q0046,18
Base,q0047,12
Base,q0048,19
Base,q0050,7
Base,q0051,1
Base,q0052,10
Base,q0053,19
Base,q0054,16
Base,q0055,14
Base,q0057,3
Base,q0058,16
Base,q0059,19
Base,q0062,19
Base,q0063,16
Base,q0064,10
Base,q0065,10
Base,q0068,14
Base,q0069,16
Base,q0070,16
Base,q0071,17
Base,q0073,18
Base,q0074,19
Base,q0075,19
Base,q0076,15
Base,q0078,19
Base,q0081,18
Base,q0082,19
Base,q0083,2
Base,q0085,14
Base,q0086,16
Base,q0087,19
Base,q0090,1
Base,q0091,19
Base,q0092,18
Base,q0095,5
Base,q0096,15
Base,q0097,2
Base,q0098,15
Base,q0100,11
Base,q0101,9
Base,q0104,4
Base,q0105,1
Base,q0106,15
Base,q0107,7
Base,q0108,1
Base,q0109,19
Base,q0110,19
Base,q0112,18
Base,q0113,2
Base,q0114,18
Base,q0115,12
Base,q0118,17
Base,q0119,9
Base,q0121,15
Base,q0122,3
Base,q0123,14
Base,q0124,15
Base,q0125,8
Base,q0129,19
Base,q0130,5
Base,q0131,17
Base,q0132,3
Base,q0133,14
Base,q0134,9
Base,q0135,6
Base,q0136,14
Base,q0137,8
Base,q0138,17
Base,q0139,11
Base,q0140,19
Base,q0141,3
Base,q0142,18
Base,q0143,6
Base,q0144,1
Base,q0145,18
Base,q0146,4
Base,q0148,19
Base,q0149,7
Base,q0150,12
Base,q0151,19
Base,q0152,6
Base,q0153,19
Base,q0154,10
Base,q0155,3
Base,q0157,5
Base,q0159,18
Base,q0160,10
Base,q0161,15
Base,q0162,18
Base,q0164,11
Base,q0165,19
Base,q0166,1
Base,q0167,10
Base,q0169,16
Base,q0170,5
Base,q0171,1
Base,q0172,2
Base,q0175,19
Base,q0176,4
Base,q0179,4
Base,q0180,1
Base,q0183,3
Base,q0185,17
Base,q0186,4
Base,q0187,12
Base,q0188,17
Base,q0189,19
Base,q0191,19
Base,q0194,18
Base,q0196,10
Base,q0198,18
Base,q0199,7
Base,q0200,2
Base,q0201,10
Base,q0203,14
Base,q0208,19
Base,q0209,19
Base,q0210,19
Base,q0211,16
Base,q0214,6
Base,q0215,10
Base,q0216,14
Base,q0217,1
Base,q0218,19
Base,q0220,10
Base,q0222,19
Base,q0223,14
Base,q0224,5
Base,q0225,14
Base,q0226,5
Base,q0227,19
Base,q0229,18
Base,q0230,18
Base,q0231,9
Base,q0232,15
Base,q0233,15
Base,q0235,4
Base,q0236,7
Base,q0237,18
Base,q0238,19
Base,q0239,17
Base,q0242,18
Base,q0243,19
Base,q0245,11
Base,q0247,9
Base,q0248,14
Base,q0250,19
Base,q0252,7
Base,q0253,11
Base,q0254,1
Base,q0255,14
Base,q0256,8
Base,q0258,16
Base,q0259,14
Base,q0260,4
Base,q0261,1
Base,q0263,10
Base,q0264,6
Base,q0265,2
Base,q0266,1
Base,q0267,2
Base,q0268,8
Base,q0269,19
Base,q0270,7
Base,q0271,18
Base,q0273,19
Base,q0274,17
Base,q0275,19
Base,q0276,12
Base,q0279,8
Base,q0280,18
Base,q0283,13
Base,q0285,3
Base,q0286,10
Base,q0287,9
Base,q0288,19
Base,q0289,6
Base,q0290,7
Base,q0291,7
Base,q0292,2
Base,q0293,11
Base,q0294,18
Base,q0295,6
Base,q0298,18
Base,q0300,1
Base,q0302,19
Base,q0304,17
Base,q0305,4
Base,q0306,6
Base,q0311,12
Base,q0312,18
Base,q0315,3
Base,q0316,15
Base,q0318,14
Base,q0319,2
Base,q0320,13
Base,q0321,7
Base,q0325,18
Base,q0326,15
Base,q0327,12
Base,q0331,8
Base,q0333,7
Base,q0334,14
Base,q0337,16
Base,q0338,19
Base,q0339,4
Base,q0341,19
Base,q0344,7
Base,q0345,16
Base,q0346,9
Base,q0347,6
Base,q0348,10
Base,q0349,19
Base,q0351,19
Base,q0353,1
Base,q0354,1
Base,q0355,1
Base,q0356,1
Base,q0357,18
Base,q0358,14
Base,q0359,15
Base,q0361,6
Base,q0362,18
Base,q0363,3
Base,q0364,6
Base,q0365,5
Base,q0366,7
Base,q0368,16
Base,q0369,19
Base,q0370,8
Base,q0371,15
Base,q0372,19
Base,q0373,2
Base,q0374,3
Base,q0376,5
Base,q0377,12
Base,q0380,8
Base,q0381,1
Base,q0383,10
Base,q0384,15
Base,q0385,5
Base,q0386,1
Base,q0387,4
Base,q0388,15
Base,q0390,7
Base,q0392,8
Base,q0393,7
Base,q0394,8
Base,q0395,19
Base,q0397,10
Base,q0398,19
Base,q0399,3
Base,q0403,19
Base,q0404,19
Base,q0406,19
Base,q0407,19
Base,q0408,11
Base,q0409,18
Base,q0411,16
Base,q0412,17
Base,q0413,19
Base,q0414,17
Base,q0415,13
Base,q0416,13
Base,q0419,8
Base,q0420,19
Base,q0421,11
Base,q0422,6
Base,q0423,9
Base,q0424,1
Base,q0426,3
Base,q0427,17
Base,q0428,19
Base,q0429,18
Base,q0430,15
Base,q0431,11
Base,q0432,19
Base,q0434,5
Base,q0435,4
Base,q0436,19
Base,q0437,17
Base,q0438,15
Base,q0440,16
Base,q0441,18
Base,q0442,13
Base,q0443,17
Base,q0444,19
Base,q0445,17
Base,q0446,2
Base,q0448,13
Base,q0449,16
Base,q0453,1
Base,q0454,4
Base,q0455,19
Base,q0456,19
Base,q0460,19
Base,q0462,17
Base,q0463,6
Base,q0464,15
Base,q0469,7
Base,q0470,17
Base,q0471,12
Base,q0472,8
Base,q0474,3
Base,q0476,19
Base,q0477,17
Base,q0478,7
Base,q0479,15
Base,q0480,14
Base,q0482,13
Base,q0483,7
Base,q0484,10
Base,q0485,18
Base,q0487,10
Base,q0489,16
Base,q0490,19
