cue_id,cluster,cue_strength,cue_strength_label
c01,1,1,gentle_doubt
c04,1,4,polite_disagreement
c05,1,5,confident_assertion
c06,1,6,authority_appeal
c07,1,7,direct_correction
c08,1,8,firm_correction
c09,1,9,harsh_correction
c10,1,10,expert_demand
c12,1,12,biographical_authority
c14,1,14,citation_source
c15,1,15,emotional_appeal
c16,1,16,feedback_sycophancy
c17,1,17,leading_premise
c18,1,18,reward_framing
c19,1,19,textbook_citation
c02,2,2,mild_suggestion
c13,2,13,self_doubt_mimicry
c11,3,11,rebuttal_only
c03,4,3,social_proof
