cue_id,cluster,cue_strength,cue_strength_label
c02,1,2,mild_suggestion
c11,1,11,rebuttal_only
c13,1,13,self_doubt_mimicry
c01,2,1,gentle_doubt
c03,2,3,social_proof
c04,2,4,polite_disagreement
c05,2,5,confident_assertion
c06,2,6,authority_appeal
c07,2,7,direct_correction
c08,2,8,firm_correction
c09,2,9,harsh_correction
c12,2,12,biographical_authority
c14,2,14,citation_source
c15,2,15,emotional_appeal
c16,2,16,feedback_sycophancy
c18,2,18,reward_framing
c19,2,19,textbook_citation
c17,3,17,leading_premise
c10,4,10,expert_demand
