checkpoint_label,question_id,n_obs,mean_flip,mean_shift,mean_shift_norm,mean_t2_conf,mean_t4_prob_correct,domain
Base,q0001,18,0.16666666666666666,-0.048614111111111094,-0.672823041690762,0.06612144444444444,0.017507333333333333,college_biology
Base,q0003,18,0.05555555555555555,-0.1025767222222222,-0.7425732324807889,0.1318088888888889,0.029232166666666663,prehistory
Base,q0004,9,0.5555555555555556,-0.11976055555555555,-0.9172064342284109,0.12982866666666668,0.010068111111111111,high_school_us_history
Base,q0005,13,0.0,-0.06544853846153845,-0.6474503017943524,0.09889569230769231,0.03344715384615385,philosophy
Base,q0006,18,0.0,-0.11596338888888888,-0.913618116568068,0.1265191111111111,0.010555722222222223,philosophy
Base,q0009,4,0.0,0.0005492499999999751,-0.10613513520084619,0.05273475,0.053284,conceptual_physics
Base,q0010,17,0.058823529411764705,-0.12040088235294115,-0.7728761083843055,0.1561925882352941,0.03579170588235294,high_school_biology
Base,q0011,1,0.0,-0.076294,-0.8311164852881903,0.091797,0.015503,high_school_world_history
Base,q0012,7,0.14285714285714285,-0.0932832857142857,-0.8728341333281594,0.10616614285714286,0.012882857142857142,philosophy
Base,q0013,9,0.0,-0.07590399999999999,-0.848073768258021,0.08978944444444444,0.013885444444444443,miscellaneous
Base,q0014,19,0.10526315789473684,-0.09952089473684209,-0.8269923777988187,0.11996278947368422,0.020441894736842103,high_school_geography
Base,q0015,17,0.11764705882352941,-0.09732041176470586,-0.8447496194080562,0.11422917647058824,0.016908764705882352,miscellaneous
Base,q0017,3,0.0,-0.080363,-0.7250360880548539,0.11084,0.030477,high_school_us_history
Base,q0018,18,0.0,-0.09160027777777775,-0.684567595648787,0.13321933333333333,0.041619055555555555,miscellaneous
Base,q0019,18,0.1111111111111111,-0.1666242222222222,-0.6544298063528299,0.2529297222222222,0.0863055,astronomy
Base,q0020,1,1.0,-0.04715,-0.8778462512334531,0.053711,0.006561,miscellaneous
Base,q0021,1,0.0,-0.017334,-0.40571094207138675,0.042725,0.025391,miscellaneous
Base,q0022,3,0.3333333333333333,-0.07177733333333335,-0.5513571833480571,0.13997400000000002,0.06819666666666667,anatomy
Base,q0023,9,0.0,-0.04212766666666663,-0.4370810436126753,0.09667955555555556,0.054551888888888886,conceptual_physics
Base,q0024,19,0.10526315789473684,-0.18214931578947366,-0.8271155130668454,0.22013773684210525,0.03798842105263158,miscellaneous
Base,q0025,10,0.2,-0.03570259999999999,-0.7118864189808963,0.0492188,0.0135162,high_school_biology
Base,q0028,19,0.05263157894736842,-0.06324431578947365,-0.6745639245435033,0.09161684210526316,0.028372526315789477,nutrition
Base,q0029,7,0.0,-0.010707142857142872,-0.18249078864080248,0.06689442857142858,0.05618728571428572,conceptual_physics
Base,q0031,19,0.15789473684210525,-0.03965526315789472,-0.6041362471402544,0.06518563157894737,0.02553036842105263,jurisprudence
Base,q0032,15,0.6666666666666666,-0.08397839999999998,-0.8419875901454059,0.09980473333333334,0.015826333333333335,high_school_european_history
Base,q0034,17,0.058823529411764705,-0.07831341176470587,-0.719251302200465,0.1078239411764706,0.029510529411764706,world_religions
Base,q0035,17,0.11764705882352941,-0.11988011764705882,-0.7647884339434027,0.15693917647058822,0.03705905882352941,miscellaneous
Base,q0036,2,0.0,-0.05053699999999995,-0.4975975266339768,0.101562,0.051025,high_school_chemistry
Base,q0038,11,0.5454545454545454,-0.04672245454545454,-0.7083446621434352,0.06844800000000001,0.021725545454545456,philosophy
Base,q0039,18,0.0,-0.12465405555555553,-0.742677360160131,0.16718205555555554,0.042527999999999996,anatomy
Base,q0040,1,0.0,-0.1249999999999999,-0.8421024266023519,0.148438,0.023438,high_school_us_history
Base,q0041,1,0.0,-0.115723,-0.6657327933359413,0.173828,0.058105,anatomy
Base,q0042,9,0.0,-0.06374777777777775,-0.49475909052191736,0.12348088888888888,0.05973311111111111,prehistory
Base,q0044,13,0.7692307692307693,-0.1346976153846154,-0.9109304067201156,0.1487756923076923,0.014078076923076924,high_school_world_history
Base,q0045,3,0.0,-0.06913266666666663,-0.7759687837147643,0.08675133333333333,0.017618666666666668,high_school_us_history
Base,q0046,18,0.05555555555555555,-0.11201577777777774,-0.8536005228713434,0.1308867222222222,0.018870944444444444,miscellaneous
Base,q0047,12,0.25,-0.06533824999999997,-0.6770936186449262,0.09586591666666666,0.030527666666666665,high_school_physics
Base,q0048,19,0.21052631578947367,-0.05851263157894735,-0.916384233030734,0.06368210526315789,0.005169473684210527,miscellaneous
