checkpoint_label,question_id,cue_id,value,additive_pred,residual,outcome
RLVR,q0444,c02,-0.928223,-0.01378561898859404,-0.9144373810114059,shift
DPO,q0444,c03,0.883789,0.03435246955307264,0.8494365304469274,shift
RLVR,q0208,c02,-0.805298,0.039376052064037506,-0.8446740520640375,shift
RLVR,q0302,c18,-0.984864,-0.1441710977440765,-0.8406929022559235,shift
RLVR,q0189,c02,-0.981811,-0.14589009267280456,-0.8359209073271954,shift
RLVR,q0209,c14,-0.923401,-0.10435349663255278,-0.8190475033674472,shift
RLVR,q0189,c01,-0.985214,-0.18995513954780455,-0.7952588604521955,shift
RLVR,q0460,c01,-0.854248,-0.06866545533727825,-0.7855825446627218,shift
DPO,q0395,c17,-0.98108,-0.20638873432355442,-0.7746912656764455,shift
RLVR,q0039,c05,-0.968631,-0.1941779280163718,-0.7744530719836282,shift
DPO,q0302,c18,-0.916688,-0.1441710977440765,-0.7725169022559235,shift
RLVR,q0006,c14,0.675782,-0.09349196593079837,0.7692739659307983,shift
RLVR,q0006,c10,-0.988174,-0.22064685857192737,-0.7675271414280727,shift
RLVR,q0407,c04,-0.908264,-0.14562562661154108,-0.7626383733884589,shift
RLVR,q0409,c03,-0.731323,0.029617205664183743,-0.7609402056641836,shift
DPO,q0006,c14,0.667114,-0.09349196593079837,0.7606059659307983,shift
RLVR,q0312,c12,-0.973511,-0.21444242426413168,-0.7590685757358684,shift
RLVR,q0006,c19,-0.91983,-0.16259715091794183,-0.7572328490820582,shift
DPO,q0302,c01,-0.876709,-0.1206051263899098,-0.7561038736100901,shift
RLVR,q0238,c01,-0.973145,-0.21800828428464666,-0.7551367157153533,shift
RLVR,q0110,c02,-0.926758,-0.177767618988594,-0.748990381011406,shift
DPO,q0460,c06,0.4882809999999999,-0.259220163005718,0.7475011630057179,shift
DPO,q0110,c02,-0.923767,-0.177767618988594,-0.7459993810114061,shift
RLVR,q0238,c18,-0.986961,-0.24157425563881335,-0.7453867443611866,shift
RLVR,q0189,c04,-0.990616,-0.24966613976943577,-0.7409498602305643,shift
RLVR,q0302,c14,-0.99601,-0.2651670097904475,-0.7308429902095525,shift
Base,q0140,c06,-0.071655,-0.798067413005718,0.726412413005718,shift
DPO,q0209,c06,0.570313,-0.15034632090045486,0.7206593209004548,shift
DPO,q0198,c02,0.6391600000000001,-0.07773011898859405,0.7168901189885941,shift
RLVR,q0222,c03,-0.821534,-0.10594370149955895,-0.715590298500441,shift
DPO,q0349,c14,0.464844,-0.24941668084307908,0.714260680843079,shift
Base,q0140,c10,-0.167953,-0.879229481378945,0.711276481378945,shift
Base,q0140,c19,-0.112412,-0.8211797737249594,0.7087677737249595,shift
RLVR,q0003,c10,-0.956805,-0.25196956690526073,-0.7048354330947393,shift
RLVR,q0039,c19,-0.999336,-0.29483009536238625,-0.7045059046376138,shift
DPO,q0238,c01,-0.922485,-0.21800828428464666,-0.7044767157153533,shift
Base,q0140,c12,-0.074157,-0.7783852554044826,0.7042282554044825,shift
RLVR,q0129,c07,-0.89325,-0.19086464606842793,-0.7023853539315721,shift
DPO,q0250,c11,0.3984369999999999,-0.3038754883416643,0.7023124883416642,shift
RLVR,q0406,c10,-0.984253,-0.28205994190526074,-0.7021930580947393,shift
RLVR,q0275,c05,-0.969971,-0.2689801458526291,-0.700990854147371,shift
RLVR,q0208,c13,-0.640625,0.06004869268903752,-0.7006736926890376,shift
RLVR,q0001,c12,-0.964245,-0.26420335481968726,-0.7000416451803128,shift
DPO,q0476,c07,0.414062,-0.2849284487000069,0.6989904487000069,shift
RLVR,q0194,c18,-0.951294,-0.2525350816622052,-0.6987589183377948,shift
RLVR,q0148,c05,-0.913834,-0.21657361953683962,-0.6972603804631604,shift
RLVR,q0046,c07,0.606445,-0.08828429226725837,0.6947292922672583,shift
RLVR,q0362,c07,-0.971527,-0.2769395561561472,-0.6945874438438528,shift
RLVR,q0153,c12,-0.99469,-0.3004019790886931,-0.6942880209113069,shift
RLVR,q0243,c07,-0.908447,-0.21484665922632268,-0.6936003407736773,shift
DPO,q0006,c10,-0.913971,-0.22064685857192737,-0.6933241414280726,shift
RLVR,q0019,c08,-0.967842,-0.2748299097872051,-0.6930120902127949,shift
DPO,q0302,c14,-0.956918,-0.2651670097904475,-0.6917509902095526,shift
RLVR,q0407,c18,-0.798828,-0.10948059774407654,-0.6893474022559234,shift
RLVR,q0039,c12,-0.940937,-0.2520355770419095,-0.6889014229580905,shift
RLVR,q0145,c19,-0.944591,-0.25707299814016404,-0.6875180018598359,shift
DPO,q0222,c05,0.375,-0.31116173795789226,0.6861617379578923,shift
Base,q0140,c16,-0.166931,-0.8523429648069752,0.6854119648069752,shift
DPO,q0275,c08,0.485352,-0.19689650262346248,0.6822485026234625,shift
DPO,q0153,c12,-0.98169,-0.3004019790886931,-0.6812880209113068,shift
RLVR,q0028,c06,-0.999905,-0.3187497156372969,-0.6811552843627031,shift
RLVR,q0395,c17,-0.885742,-0.20638873432355442,-0.6793532656764456,shift
RLVR,q0129,c14,-0.913025,-0.23450193084307905,-0.678523069156921,shift
RLVR,q0003,c06,-0.845459,-0.17080749853203378,-0.6746515014679662,shift
RLVR,q0210,c08,-0.890503,-0.21664747630767298,-0.673855523692327,shift
RLVR,q0369,c05,-0.945801,-0.27383214585262905,-0.671968854147371,shift
DPO,q0006,c01,0.7221679999999999,0.051069917469739295,0.6710980825302606,shift
RLVR,q0148,c06,-0.96482,-0.2941134261636127,-0.6707065738363873,shift
RLVR,q0275,c12,-0.997299,-0.3268377948781668,-0.6704612051218333,shift
RLVR,q0114,c08,0.700195,0.030093548546128168,0.6701014514538719,shift
DPO,q0028,c06,-0.987919,-0.3187497156372969,-0.6691692843627031,shift
RLVR,q0312,c10,-0.98428,-0.31528665023859404,-0.668993349761406,shift
DPO,q0432,c02,-0.640625,0.027384249432458582,-0.6680092494324585,shift
RLVR,q0112,c01,-0.813965,-0.1465486797524829,-0.6674163202475172,shift
DPO,q0338,c02,0.492187,-0.17492986898859403,0.667116868988594,shift
DPO,q0039,c19,-0.959916,-0.29483009536238625,-0.6650859046376137,shift
RLVR,q0349,c06,-0.9599,-0.2954095051109812,-0.6644904948890188,shift
RLVR,q0338,c08,-0.924316,-0.25992617367609405,-0.664389826323906,shift
RLVR,q0444,c05,-0.833985,-0.17086556690526067,-0.6631194330947393,shift
DPO,q0109,c12,0.5585939999999999,-0.10341393961500889,0.6620079396150088,shift
RLVR,q0110,c04,-0.94336,-0.2815436660852252,-0.6618163339147748,shift
RLVR,q0372,c07,-0.956016,-0.2943212644894806,-0.6616947355105194,shift
RLVR,q0001,c06,-0.944869,-0.28388551242092264,-0.6609834875790773,shift
RLVR,q0403,c18,-0.915222,-0.2563095056388134,-0.6589124943611866,shift
DPO,q0238,c18,-0.899918,-0.24157425563881335,-0.6583437443611866,shift
RLVR,q0485,c14,-0.8170769999999999,-0.15897399370857612,-0.6581030062914238,shift
RLVR,q0238,c04,-0.935791,-0.2777192845062779,-0.6580717154937221,shift
RLVR,q0369,c12,-0.989563,-0.33168979487816674,-0.6578732051218332,shift
DPO,q0476,c17,0.3476559999999999,-0.3099740237972387,0.6576300237972386,shift
RLVR,q0271,c15,-0.944336,-0.2880351088095005,-0.6563008911904995,shift
RLVR,q0191,c04,-0.877441,-0.22122257397996212,-0.6562184260200379,shift
RLVR,q0175,c08,-0.8212889999999999,-0.1660283315708309,-0.6552606684291691,shift
RLVR,q0175,c14,-0.924736,-0.26965895715886856,-0.6550770428411314,shift
RLVR,q0175,c06,-0.969605,-0.31565178142677064,-0.6539532185732294,shift
DPO,q0341,c03,0.345704,-0.3075539909732432,0.6532579909732432,shift
RLVR,q0112,c15,-0.849854,-0.19817798380950047,-0.6516760161904995,shift
RLVR,q0112,c17,-0.924073,-0.27251885347560123,-0.6515541465243988,shift
RLVR,q0222,c17,-0.975586,-0.32411701063934395,-0.651468989360656,shift
RLVR,q0238,c05,-0.98172,-0.3310231853263133,-0.6506968146736867,shift
RLVR,q0194,c02,0.464844,-0.1849040634330385,0.6497480634330385,shift
RLVR,q0210,c07,-0.926269,-0.2766408171210595,-0.6496281828789405,shift
RLVR,q0075,c05,-0.8203119999999999,-0.1714631458526291,-0.6488488541473708,shift
DPO,q0369,c12,-0.980347,-0.33168979487816674,-0.6486572051218332,shift
RLVR,q0271,c07,-0.98439,-0.3373304033783695,-0.6470595966216305,shift
DPO,q0198,c04,0.464844,-0.18150616608522527,0.6463501660852252,shift
RLVR,q0349,c19,-0.964264,-0.3185218658302226,-0.6457421341697774,shift
RLVR,q0455,c15,-0.818847,-0.1746504962364011,-0.6441965037635988,shift
