axis,metric,ckpt_a,ckpt_b,spearman_rho
question_id,mean_flip,Base,SFT,0.3019004427017273
question_id,mean_flip,Base,DPO,0.2757709390244917
question_id,mean_flip,Base,RLVR,0.24751265033529274
question_id,mean_flip,SFT,DPO,0.7093650187981304
question_id,mean_flip,SFT,RLVR,0.7557694289147878
question_id,mean_flip,DPO,RLVR,0.8471584766708745
question_id,mean_shift,Base,SFT,0.30325233991003014
question_id,mean_shift,Base,DPO,0.05998091549060307
question_id,mean_shift,Base,RLVR,0.05122879034560452
question_id,mean_shift,SFT,DPO,0.593040584160886
question_id,mean_shift,SFT,RLVR,0.5340411577249824
question_id,mean_shift,DPO,RLVR,0.8633443673690898
question_id,mean_shift_norm,Base,SFT,0.10913793059102822
question_id,mean_shift_norm,Base,DPO,0.0311224109239526
question_id,mean_shift_norm,Base,RLVR,0.01653562141683192
question_id,mean_shift_norm,SFT,DPO,0.6361875220230608
question_id,mean_shift_norm,SFT,RLVR,0.5907980257049309
question_id,mean_shift_norm,DPO,RLVR,0.8086433280092182
cue_id,mean_flip,Base,SFT,0.8649122807017544
cue_id,mean_flip,Base,DPO,0.8947368421052632
cue_id,mean_flip,Base,RLVR,0.9087719298245615
cue_id,mean_flip,SFT,DPO,0.980701754385965
cue_id,mean_flip,SFT,RLVR,0.9614035087719298
cue_id,mean_flip,DPO,RLVR,0.9859649122807017
cue_id,mean_shift,Base,SFT,0.7982456140350878
cue_id,mean_shift,Base,DPO,0.7631578947368421
cue_id,mean_shift,Base,RLVR,0.8035087719298246
cue_id,mean_shift,SFT,DPO,0.9649122807017544
cue_id,mean_shift,SFT,RLVR,0.9631578947368421
cue_id,mean_shift,DPO,RLVR,0.9649122807017544
cue_id,mean_shift_norm,Base,SFT,0.7859649122807018
cue_id,mean_shift_norm,Base,DPO,0.7929824561403509
cue_id,mean_shift_norm,Base,RLVR,0.8315789473684211
cue_id,mean_shift_norm,SFT,DPO,0.9842105263157894
cue_id,mean_shift_norm,SFT,RLVR,0.9701754385964912
cue_id,mean_shift_norm,DPO,RLVR,0.9701754385964912
