model,n_episodes,n_valid,n_agreed,n_parse_fail,n_implicit,agreement_rate,mean_score_a,mean_score_b,mean_joint_score,mean_joint_score_agreed,mean_pareto_efficiency,pareto_optimal_rate,parse_failure_rate,mean_turns,n_walked_away,n_timed_out,score_ratio_mean,score_abs_diff_mean,nash_distance_mean,ir_violation_rate,fao_js_at_matched_ar,surplus_over_fao,above_fao_frontier,n_raw_dialogs
gemini-3.1-pro-preview,100,100,98,0,98,0.98,6.84,7.1,13.94,14.224489795918368,0.9367445744443914,0.7755102040816326,0.0,15.0,2,0,0.7565759637188207,2.0816326530612246,1.380138802712878,0.0,13.4,0.5399999999999991,True,
Meta-Llama-3-8B-Instruct,100,100,4,0,4,0.04,0.16,0.25,0.41,10.25,0.6979166666666666,0.25,0.0,16.0,0,96,0.23214285714285715,6.25,6.739740582617238,0.5,0.74,-0.33,False,
Qwen_Qwen3-14B,100,100,90,0,74,0.9,6.26,6.55,12.81,14.233333333333333,0.9300421533135667,0.7666666666666667,0.0,13.73,0,10,0.6399603174603173,3.2555555555555555,2.001995538705721,0.0,13.18,-0.3699999999999992,False,
DeepSeek-R1-Distill-Llama-8B,100,100,28,0,28,0.28,2.01,2.16,4.17,14.892857142857142,0.928103613240168,0.6785714285714286,0.0,16.0,0,72,0.6287981859410431,3.392857142857143,2.6577886718819963,0.0,4.86,-0.6900000000000004,False,
Human (Lewis et al.),81,81,72,0,0,0.7230452674897119,5.132510288065843,5.321810699588477,10.45432098765432,11.761111111111111,0.9385098722209305,0.3055555555555556,0.0,0.0,0,0,0.7483602730346581,1.6875,3.329524596315009,0.0,11.205761316872428,-0.7514403292181075,False,181.0
Qwen3-8B,100,100,86,0,12,0.86,6.36,4.91,11.27,13.104651162790697,0.8633658826333781,0.627906976744186,0.0,5.55,0,14,0.5325581395348836,4.104651162790698,3.5810270681882916,0.05813953488372093,12.771999999999998,-1.501999999999999,False,
Mistral-7B-Instruct-v0.2,100,100,41,0,21,0.41,2.77,2.58,5.35,13.048780487804878,0.8551615238109992,0.5609756097560976,0.0,14.37,0,59,0.49476384049554784,4.414634146341464,3.728419562793798,0.04878048780487805,6.9399999999999995,-1.5899999999999999,False,
allenai_OLMo-3-7B-Instruct,100,100,72,0,55,0.72,4.95,4.28,9.23,12.819444444444445,0.8406369581308306,0.6111111111111112,0.0,13.82,0,28,0.5820601851851852,3.4305555555555554,3.3794513152189904,0.013888888888888888,11.168,-1.9379999999999988,False,
Mistral-7B-Instruct-v0.3,100,100,53,0,25,0.53,3.04,3.22,6.26,11.81132075471698,0.7664475289007969,0.37735849056603776,0.0,13.6,0,47,0.4415543575920935,4.415094339622642,4.336680775816482,0.20754716981132076,8.67909090909091,-2.41909090909091,False,
Qwen2.5-7B-Instruct,100,100,93,0,22,0.93,4.66,5.68,10.34,11.118279569892474,0.7413687196469578,0.3010752688172043,0.0,11.61,0,7,0.5095195425840587,3.7419354838709675,4.161489380129048,0.0967741935483871,13.4,-3.0600000000000005,False,
