model,total_turns,propose_frac,counter_propose_frac,accept_frac,reject_frac,inquire_frac,reveal_preference_frac,concede_frac,insist_frac,leave_frac,small_talk_frac
DeepSeek-R1-Distill-Llama-8B,571,0.17688266199649738,0.6147110332749562,0.159369527145359,0.0017513134851138354,0.0,0.0,0.12259194395796848,0.28546409807355516,0.0,0.047285464098073555
Human (Lewis et al.),890,0.21348314606741572,0.36404494382022473,0.23370786516853934,0.0,0.007865168539325843,0.0011235955056179776,0.11797752808988764,0.035955056179775284,0.0022471910112359553,0.18089887640449437
Meta-Llama-3-8B-Instruct,1434,0.0697350069735007,0.9121338912133892,0.012552301255230125,0.0,0.0,0.0,0.296373779637378,0.2315202231520223,0.0,0.005578800557880056
Mistral-7B-Instruct-v0.2,868,0.1152073732718894,0.782258064516129,0.08525345622119816,0.0,0.0,0.0,0.14400921658986174,0.39285714285714285,0.02304147465437788,0.014976958525345621
Mistral-7B-Instruct-v0.3,883,0.11664779161947905,0.6715741789354474,0.10419026047565119,0.0,0.0011325028312570782,0.0,0.06681766704416761,0.44620611551528877,0.030577576443941108,0.10419026047565119
Qwen2.5-7B-Instruct,831,0.12033694344163658,0.5318892900120337,0.34777376654632974,0.0,0.0,0.0,0.08543922984356198,0.28640192539109505,0.08543922984356198,0.0
Qwen3-8B,300,0.33666666666666667,0.4066666666666667,0.2,0.0,0.0,0.0,0.05,0.2733333333333333,0.24666666666666667,0.056666666666666664
Qwen_Qwen3-14B,389,0.2622107969151671,0.5141388174807198,0.2159383033419023,0.0,0.0,0.0,0.16452442159383032,0.23136246786632392,0.04113110539845758,0.007712082262210797
allenai_OLMo-3-7B-Instruct,511,0.2035225048923679,0.5812133072407045,0.18786692759295498,0.0,0.0,0.0,0.023483365949119372,0.42661448140900193,0.033268101761252444,0.023483365949119372
gemini-3.1-pro-preview,479,0.20876826722338204,0.5866388308977035,0.2045929018789144,0.0,0.0,0.0,0.2797494780793319,0.1315240083507307,0.0,0.0
