from_act,to_act,count
counter_propose,counter_propose,142
counter_propose,insist,88
insist,counter_propose,66
counter_propose,concede,64
propose,counter_propose,55
counter_propose,accept,48
insist,insist,46
propose,accept,36
insist,concede,22
concede,counter_propose,20
insist,accept,18
concede,insist,17
concede,accept,7
concede,concede,6
propose,leave,3
counter_propose,small_talk,3
small_talk,counter_propose,3
accept,propose,2
counter_propose,leave,2
insist,small_talk,2
small_talk,insist,2
insist,leave,1
concede,leave,1
