from_act,to_act,count
counter_propose,counter_propose,170
propose,counter_propose,120
counter_propose,concede,86
counter_propose,accept,82
accept,accept,58
concede,counter_propose,50
counter_propose,small_talk,46
propose,accept,44
accept,small_talk,36
small_talk,small_talk,35
small_talk,propose,26
concede,accept,25
counter_propose,insist,24
small_talk,accept,23
concede,concede,23
propose,small_talk,22
small_talk,counter_propose,19
concede,small_talk,14
accept,counter_propose,14
insist,counter_propose,12
insist,small_talk,11
accept,concede,11
concede,insist,10
small_talk,concede,8
insist,accept,8
small_talk,insist,7
accept,propose,5
inquire,propose,5
insist,insist,2
insist,concede,2
inquire,small_talk,1
accept,insist,1
counter_propose,leave,1
concede,leave,1
leave,small_talk,1
accept,inquire,1
inquire,counter_propose,1
leave,accept,1
propose,reveal_preference,1
reveal_preference,propose,1
