pair,scenario,condition,correct
v0.2×v0.2,key,false_deceive,0
v0.2×v0.3,key,false_deceive,1
v0.3×v0.2,key,false_deceive,0
v0.3×v0.3,key,false_deceive,0
v0.2×v0.2,pkg,false_deceive,0
v0.2×v0.3,pkg,false_deceive,0
v0.3×v0.2,pkg,false_deceive,0
v0.3×v0.3,pkg,false_deceive,0
v0.2×v0.2,wallet,false_deceive,0
v0.2×v0.3,wallet,false_deceive,0
v0.3×v0.2,wallet,false_deceive,0
v0.3×v0.3,wallet,false_deceive,0
v0.2×v0.2,key,false_help,0
v0.2×v0.3,key,false_help,0
v0.3×v0.2,key,false_help,1
v0.3×v0.3,key,false_help,0
v0.2×v0.2,pkg,false_help,0
v0.2×v0.3,pkg,false_help,0
v0.3×v0.2,pkg,false_help,0
v0.3×v0.3,pkg,false_help,0
v0.2×v0.2,wallet,false_help,0
v0.2×v0.3,wallet,false_help,0
v0.3×v0.2,wallet,false_help,1
v0.3×v0.3,wallet,false_help,0
v0.2×v0.2,key,ignorance_deceive,0
v0.2×v0.3,key,ignorance_deceive,1
v0.3×v0.2,key,ignorance_deceive,1
v0.3×v0.3,key,ignorance_deceive,0
v0.2×v0.2,pkg,ignorance_deceive,1
v0.2×v0.3,pkg,ignorance_deceive,0
v0.3×v0.2,pkg,ignorance_deceive,1
v0.3×v0.3,pkg,ignorance_deceive,0
v0.2×v0.2,wallet,ignorance_deceive,0
v0.2×v0.3,wallet,ignorance_deceive,0
v0.3×v0.2,wallet,ignorance_deceive,0
v0.3×v0.3,wallet,ignorance_deceive,0
v0.2×v0.2,key,ignorance_help,1
v0.2×v0.3,key,ignorance_help,0
v0.3×v0.2,key,ignorance_help,0
v0.3×v0.3,key,ignorance_help,0
v0.2×v0.2,pkg,ignorance_help,0
v0.2×v0.3,pkg,ignorance_help,1
v0.3×v0.2,pkg,ignorance_help,0
v0.3×v0.3,pkg,ignorance_help,1
v0.2×v0.2,wallet,ignorance_help,0
v0.2×v0.3,wallet,ignorance_help,0
v0.3×v0.2,wallet,ignorance_help,1
v0.3×v0.3,wallet,ignorance_help,0
v0.2×v0.2,key,shared_deceive,1
v0.2×v0.3,key,shared_deceive,1
v0.3×v0.2,key,shared_deceive,1
v0.3×v0.3,key,shared_deceive,1
v0.2×v0.2,pkg,shared_deceive,1
v0.2×v0.3,pkg,shared_deceive,1
v0.3×v0.2,pkg,shared_deceive,1
v0.3×v0.3,pkg,shared_deceive,1
v0.2×v0.2,wallet,shared_deceive,1
v0.2×v0.3,wallet,shared_deceive,1
v0.3×v0.2,wallet,shared_deceive,1
v0.3×v0.3,wallet,shared_deceive,1
v0.2×v0.2,key,shared_help,1
v0.2×v0.3,key,shared_help,0
v0.3×v0.2,key,shared_help,1
v0.3×v0.3,key,shared_help,0
v0.2×v0.2,pkg,shared_help,1
v0.2×v0.3,pkg,shared_help,1
v0.3×v0.2,pkg,shared_help,1
v0.3×v0.3,pkg,shared_help,1
v0.2×v0.2,wallet,shared_help,1
v0.2×v0.3,wallet,shared_help,1
v0.3×v0.2,wallet,shared_help,1
v0.3×v0.3,wallet,shared_help,1
