pair,scenario,condition,class,turn,agent,logprob_diff
v0.2×v0.2,key,false_deceive,ava_strategy,0,1,-2.643770694732666
v0.2×v0.3,key,false_deceive,ava_strategy,0,1,-2.643770694732666
v0.3×v0.2,key,false_deceive,ava_strategy,0,1,-2.0680489540100098
v0.3×v0.3,key,false_deceive,ava_strategy,0,1,-2.0680489540100098
v0.2×v0.2,pkg,false_deceive,ava_strategy,0,1,-2.1214065551757812
v0.2×v0.3,pkg,false_deceive,ava_strategy,0,1,-2.1214065551757812
v0.3×v0.2,pkg,false_deceive,ava_strategy,0,1,-1.5959420204162598
v0.3×v0.3,pkg,false_deceive,ava_strategy,0,1,-1.5959420204162598
v0.2×v0.2,wallet,false_deceive,ava_strategy,0,1,-2.2828378677368164
v0.2×v0.3,wallet,false_deceive,ava_strategy,0,1,-2.2828378677368164
v0.3×v0.2,wallet,false_deceive,ava_strategy,0,1,-1.831688404083252
v0.3×v0.3,wallet,false_deceive,ava_strategy,0,1,-1.831688404083252
v0.2×v0.2,key,false_help,ava_strategy,0,1,-2.771522045135498
v0.2×v0.3,key,false_help,ava_strategy,0,1,-2.7724623680114746
v0.3×v0.2,key,false_help,ava_strategy,0,1,-1.8790979385375977
v0.3×v0.3,key,false_help,ava_strategy,0,1,-1.8790979385375977
v0.2×v0.3,pkg,false_help,ava_strategy,0,1,-2.143979072570801
v0.3×v0.2,pkg,false_help,ava_strategy,0,1,-1.6889019012451172
v0.3×v0.3,pkg,false_help,ava_strategy,0,1,-1.687920093536377
v0.2×v0.3,wallet,false_help,ava_strategy,0,1,-2.4585061073303223
v0.3×v0.2,wallet,false_help,ava_strategy,0,1,-1.9154472351074219
v0.3×v0.3,wallet,false_help,ava_strategy,0,1,-1.9154472351074219
v0.2×v0.2,key,ignorance_deceive,ava_strategy,0,1,-2.643770694732666
v0.2×v0.3,key,ignorance_deceive,ava_strategy,0,1,-2.6422371864318848
v0.3×v0.2,key,ignorance_deceive,ava_strategy,0,1,-2.0680489540100098
v0.3×v0.3,key,ignorance_deceive,ava_strategy,0,1,-2.0680489540100098
v0.2×v0.3,pkg,ignorance_deceive,ava_strategy,0,1,-2.1214065551757812
v0.3×v0.2,pkg,ignorance_deceive,ava_strategy,0,1,-1.5959420204162598
v0.3×v0.3,pkg,ignorance_deceive,ava_strategy,0,1,-1.5959420204162598
v0.2×v0.2,wallet,ignorance_deceive,ava_strategy,0,1,-2.284670352935791
v0.2×v0.3,wallet,ignorance_deceive,ava_strategy,0,1,-2.2828378677368164
v0.3×v0.2,wallet,ignorance_deceive,ava_strategy,0,1,-1.8280096054077148
v0.3×v0.3,wallet,ignorance_deceive,ava_strategy,0,1,-1.831688404083252
v0.2×v0.2,key,ignorance_help,ava_strategy,0,1,-2.7724623680114746
v0.2×v0.3,key,ignorance_help,ava_strategy,0,1,-2.7724623680114746
v0.3×v0.2,key,ignorance_help,ava_strategy,0,1,-1.8790979385375977
v0.3×v0.3,key,ignorance_help,ava_strategy,0,1,-1.8790979385375977
v0.2×v0.2,pkg,ignorance_help,ava_strategy,0,1,-2.143979072570801
v0.2×v0.3,pkg,ignorance_help,ava_strategy,0,1,-2.143979072570801
v0.3×v0.2,pkg,ignorance_help,ava_strategy,0,1,-1.687920093536377
v0.3×v0.3,pkg,ignorance_help,ava_strategy,0,1,-1.687920093536377
v0.2×v0.2,wallet,ignorance_help,ava_strategy,0,1,-2.4572930335998535
v0.2×v0.3,wallet,ignorance_help,ava_strategy,0,1,-2.4572930335998535
v0.3×v0.2,wallet,ignorance_help,ava_strategy,0,1,-1.9154472351074219
v0.3×v0.3,wallet,ignorance_help,ava_strategy,0,1,-1.9154472351074219
v0.2×v0.2,key,shared_deceive,ava_strategy,0,1,-2.643770694732666
v0.2×v0.3,key,shared_deceive,ava_strategy,0,1,-2.643770694732666
v0.3×v0.2,key,shared_deceive,ava_strategy,0,1,-2.0680489540100098
v0.3×v0.3,key,shared_deceive,ava_strategy,0,1,-2.0680489540100098
v0.2×v0.2,pkg,shared_deceive,ava_strategy,0,1,-2.1214065551757812
v0.2×v0.3,pkg,shared_deceive,ava_strategy,0,1,-2.1214065551757812
v0.3×v0.2,pkg,shared_deceive,ava_strategy,0,1,-1.5959420204162598
v0.3×v0.3,pkg,shared_deceive,ava_strategy,0,1,-1.5959420204162598
v0.2×v0.2,wallet,shared_deceive,ava_strategy,0,1,-2.2828378677368164
v0.2×v0.3,wallet,shared_deceive,ava_strategy,0,1,-2.2828378677368164
v0.3×v0.3,wallet,shared_deceive,ava_strategy,0,1,-1.831688404083252
v0.2×v0.2,key,shared_help,ava_strategy,0,1,-2.7724623680114746
v0.2×v0.3,key,shared_help,ava_strategy,0,1,-2.7724623680114746
v0.3×v0.2,key,shared_help,ava_strategy,0,1,-1.8790979385375977
v0.3×v0.3,key,shared_help,ava_strategy,0,1,-1.8790979385375977
v0.2×v0.3,pkg,shared_help,ava_strategy,0,1,-2.1454248428344727
v0.3×v0.2,pkg,shared_help,ava_strategy,0,1,-1.687920093536377
v0.3×v0.3,pkg,shared_help,ava_strategy,0,1,-1.687920093536377
v0.2×v0.2,wallet,shared_help,ava_strategy,0,1,-2.4572930335998535
v0.2×v0.3,wallet,shared_help,ava_strategy,0,1,-2.4572930335998535
v0.3×v0.2,wallet,shared_help,ava_strategy,0,1,-1.9154472351074219
v0.3×v0.3,wallet,shared_help,ava_strategy,0,1,-1.9154472351074219
v0.2×v0.2,key,false_deceive,ava_think_location,0,1,-1.0053174495697021
v0.2×v0.3,key,false_deceive,ava_think_location,0,1,-1.0053174495697021
v0.3×v0.2,key,false_deceive,ava_think_location,0,1,-0.4888031482696533
v0.3×v0.3,key,false_deceive,ava_think_location,0,1,-0.4888031482696533
v0.2×v0.2,pkg,false_deceive,ava_think_location,0,1,-1.2679791450500488
v0.2×v0.3,pkg,false_deceive,ava_think_location,0,1,-1.2679791450500488
v0.3×v0.2,pkg,false_deceive,ava_think_location,0,1,-0.8705220222473145
v0.3×v0.3,pkg,false_deceive,ava_think_location,0,1,-0.8705220222473145
v0.2×v0.2,wallet,false_deceive,ava_think_location,0,1,-0.4248628616333008
v0.2×v0.3,wallet,false_deceive,ava_think_location,0,1,-0.4248628616333008
v0.3×v0.2,wallet,false_deceive,ava_think_location,0,1,-0.15344858169555664
v0.3×v0.3,wallet,false_deceive,ava_think_location,0,1,-0.15344858169555664
v0.2×v0.2,key,false_help,ava_think_location,0,1,-1.0572900772094727
v0.2×v0.3,key,false_help,ava_think_location,0,1,-1.0569872856140137
v0.3×v0.2,key,false_help,ava_think_location,0,1,-0.5564355850219727
v0.3×v0.3,key,false_help,ava_think_location,0,1,-0.5564355850219727
v0.2×v0.3,pkg,false_help,ava_think_location,0,1,-0.9630827903747559
v0.3×v0.2,pkg,false_help,ava_think_location,0,1,-0.937049388885498
v0.3×v0.3,pkg,false_help,ava_think_location,0,1,-0.939049243927002
v0.2×v0.3,wallet,false_help,ava_think_location,0,1,-0.3277730941772461
v0.3×v0.2,wallet,false_help,ava_think_location,0,1,-0.1802387237548828
v0.3×v0.3,wallet,false_help,ava_think_location,0,1,-0.1802387237548828
v0.2×v0.2,key,ignorance_deceive,ava_think_location,0,1,-1.0053174495697021
v0.2×v0.3,key,ignorance_deceive,ava_think_location,0,1,-1.0062403678894043
v0.3×v0.2,key,ignorance_deceive,ava_think_location,0,1,-0.4888031482696533
v0.3×v0.3,key,ignorance_deceive,ava_think_location,0,1,-0.4888031482696533
v0.2×v0.3,pkg,ignorance_deceive,ava_think_location,0,1,-1.2679791450500488
v0.3×v0.2,pkg,ignorance_deceive,ava_think_location,0,1,-0.8705220222473145
v0.3×v0.3,pkg,ignorance_deceive,ava_think_location,0,1,-0.8705220222473145
