model,role,n_episodes,accuracy,guide_goal_failure_rate,guide_says_leave_rate,no_leave_rate,null_choice_rate,ambiguous_leave_rate,substring_match_rate,prompt_leakage_rate,cascade_leakage_rate,repetitive_loop_rate,max_turns_hit_rate,single_word_seeker_rate,multi_leave_rate,ava_parroting_rate,parenthetical_aside_rate,meta_commentary_rate
DeepSeek-R1-Distill-Llama-8B,guide,4800,0.3933,0.0910,0.0144,0.1706,0.3019,0.0206,0.0265,0.4021,0.0160,0.2100,0.1921,0.0425,0.0246,0.0408,0.0075,0.0004
DeepSeek-R1-Distill-Llama-8B,seeker,3600,0.0917,0.0372,0.0661,0.7119,0.8583,0.0111,0.0419,0.4733,0.0106,0.7503,0.7194,0.1250,0.0044,0.1392,0.0056,0.0003
Meta-Llama-3-8B-Instruct,guide,4800,0.4673,0.0000,0.0000,0.1800,0.2915,0.0144,0.0327,0.0590,0.0000,0.1638,0.2073,0.0587,0.0377,0.0100,0.0102,0.0002
Meta-Llama-3-8B-Instruct,seeker,3600,0.2361,0.0358,0.0311,0.4450,0.5753,0.0150,0.0364,0.1594,0.0081,0.3700,0.4689,0.0022,0.0011,0.0103,0.0056,0.0000
Mistral-7B-Instruct-v0.2,guide,4800,0.3638,0.0050,0.0146,0.1685,0.2992,0.0231,0.0256,0.0408,0.0029,0.1896,0.1848,0.0379,0.0256,0.0206,0.0065,0.0004
Mistral-7B-Instruct-v0.2,seeker,4800,0.4956,0.0323,0.0169,0.0156,0.0579,0.0183,0.0227,0.0269,0.0010,0.0531,0.0617,0.0000,0.0867,0.0008,0.0419,0.0008
Mistral-7B-Instruct-v0.3,guide,4800,0.4027,0.0100,0.0240,0.1306,0.2781,0.0285,0.0369,0.0498,0.0004,0.1477,0.1604,0.0421,0.0350,0.0056,0.0156,0.0000
Mistral-7B-Instruct-v0.3,seeker,4800,0.5452,0.0325,0.0163,0.0008,0.0515,0.0660,0.0210,0.0238,0.0006,0.0479,0.0733,0.0002,0.1390,0.0004,0.0154,0.0002
Qwen2.5-7B-Instruct,guide,4800,0.3958,0.0100,0.0671,0.1398,0.2963,0.0223,0.0135,0.0508,0.0000,0.1619,0.1467,0.0381,0.0281,0.0181,0.0090,0.0000
Qwen2.5-7B-Instruct,seeker,4800,0.4271,0.0319,0.0006,0.0004,0.1900,0.0300,0.0181,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qwen3-8B,guide,3600,0.4219,0.0247,0.0019,0.0267,0.1519,0.0331,0.0139,0.0039,0.0000,0.0633,0.0497,0.0350,0.0419,0.0006,0.0100,0.0000
Qwen3-8B,seeker,4800,0.5846,0.0325,0.0008,0.0058,0.0152,0.0279,0.0175,0.0404,0.0000,0.0033,0.0008,0.0029,0.0000,0.0000,0.0000,0.0000
Qwen_Qwen3-14B,guide,3600,0.4569,0.0183,0.0003,0.0303,0.1575,0.0292,0.0153,0.0008,0.0000,0.0664,0.0569,0.0375,0.0419,0.0008,0.0094,0.0003
Qwen_Qwen3-14B,seeker,4800,0.4560,0.0319,0.0085,0.0421,0.1625,0.0027,0.0192,0.0390,0.0006,0.0663,0.0431,0.0704,0.0004,0.0017,0.0006,0.0000
allenai_OLMo-3-7B-Instruct,guide,4800,0.3535,0.1000,0.0000,0.2081,0.3123,0.0179,0.0215,0.0492,0.0000,0.2046,0.2144,0.0667,0.0163,0.0306,0.0033,0.0000
allenai_OLMo-3-7B-Instruct,seeker,4800,0.2812,0.0325,0.0056,0.1079,0.4590,0.0090,0.0213,0.0406,0.0031,0.1640,0.1154,0.1715,0.0000,0.0119,0.0004,0.0000
