model,role,n_episodes,accuracy,no_leave_rate,null_choice_rate,guide_leave_choice_rate,ambiguous_leave_rate,negation_choice_rate,substring_match_rate,prompt_leakage_rate,cascade_leakage_rate,repetitive_loop_rate,max_turns_hit_rate,single_word_seeker_rate,guide_says_leave_rate,multi_leave_rate,ava_parroting_rate,parenthetical_aside_rate,guide_goal_failure_rate,seeker_contradicts_knowledge_rate,meta_commentary_rate
DeepSeek-R1-Distill-Llama-8B,guide,4200,0.5738,0.0867,0.0093,0.0174,0.0248,0.0048,0.0240,0.3345,0.0093,0.1286,0.1136,0.0350,0.0145,0.0317,0.0098,0.0079,0.0900,0.0231,0.0005
DeepSeek-R1-Distill-Llama-8B,seeker,2400,0.6758,0.6858,0.0017,0.1096,0.0129,0.0000,0.0462,0.4225,0.0000,0.7225,0.6887,0.1342,0.0904,0.0046,0.1050,0.0058,0.0300,0.0254,0.0000
Meta-Llama-3-8B-Instruct,guide,4800,0.6650,0.1771,0.0037,0.0017,0.0156,0.0056,0.0338,0.0629,0.0000,0.1656,0.2083,0.0615,0.0000,0.0387,0.0085,0.0060,0.0000,0.0202,0.0002
Meta-Llama-3-8B-Instruct,seeker,4200,0.5343,0.4376,0.0014,0.0326,0.0140,0.0038,0.0333,0.1352,0.0067,0.3807,0.4671,0.0029,0.0262,0.0007,0.0102,0.0017,0.0329,0.0390,0.0002
Mistral-7B-Instruct-v0.2,guide,4200,0.5217,0.0876,0.0033,0.0095,0.0310,0.0074,0.0231,0.0038,0.0024,0.1057,0.1071,0.0264,0.0083,0.0338,0.0002,0.0060,0.0050,0.0245,0.0005
Mistral-7B-Instruct-v0.2,seeker,4800,0.5417,0.0154,0.0017,0.0173,0.0238,0.0015,0.0240,0.0296,0.0010,0.0656,0.0715,0.0000,0.0177,0.1015,0.0004,0.0342,0.0325,0.0079,0.0008
Mistral-7B-Instruct-v0.3,guide,4800,0.6033,0.1271,0.0069,0.0333,0.0279,0.0046,0.0369,0.0510,0.0004,0.1469,0.1579,0.0417,0.0250,0.0358,0.0065,0.0117,0.0100,0.0146,0.0000
Mistral-7B-Instruct-v0.3,seeker,4800,0.5902,0.0017,0.0019,0.0146,0.0715,0.0002,0.0215,0.0258,0.0006,0.0569,0.0829,0.0000,0.0198,0.1552,0.0006,0.0198,0.0325,0.0252,0.0004
Qwen2.5-7B-Instruct,guide,4800,0.6025,0.1346,0.0027,0.0746,0.0262,0.0085,0.0150,0.0508,0.0002,0.1585,0.1435,0.0419,0.0740,0.0333,0.0175,0.0077,0.0100,0.0171,0.0000
Qwen2.5-7B-Instruct,seeker,4800,0.5629,0.0004,0.0108,0.0006,0.0356,0.0146,0.0177,0.0102,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0325,0.0240,0.0000
Qwen3-8B,guide,3000,0.5193,0.0277,0.0013,0.0020,0.0450,0.0067,0.0137,0.0033,0.0000,0.0763,0.0623,0.0370,0.0020,0.0593,0.0000,0.0143,0.0253,0.0337,0.0003
Qwen3-8B,seeker,4800,0.6127,0.0050,0.0029,0.0010,0.0288,0.0031,0.0167,0.0410,0.0000,0.0031,0.0008,0.0023,0.0006,0.0000,0.0000,0.0000,0.0325,0.0035,0.0000
Qwen_Qwen3-14B,guide,4200,0.5493,0.0933,0.0002,0.0012,0.0293,0.0050,0.0160,0.0005,0.0000,0.1414,0.1288,0.0355,0.0005,0.0445,0.0012,0.0090,0.0193,0.0226,0.0002
Qwen_Qwen3-14B,seeker,4200,0.5805,0.0371,0.0033,0.0098,0.0045,0.0005,0.0195,0.0412,0.0007,0.0626,0.0390,0.0667,0.0093,0.0007,0.0014,0.0002,0.0336,0.0055,0.0000
allenai_OLMo-3-7B-Instruct,guide,4800,0.5396,0.2060,0.0077,0.0006,0.0204,0.0073,0.0213,0.0529,0.0000,0.2035,0.2119,0.0667,0.0000,0.0190,0.0340,0.0046,0.1000,0.0281,0.0000
allenai_OLMo-3-7B-Instruct,seeker,4800,0.5533,0.1154,0.0108,0.0106,0.0104,0.0221,0.0215,0.0440,0.0027,0.1762,0.1240,0.1894,0.0056,0.0000,0.0125,0.0004,0.0327,0.0502,0.0000
