pair,scenario,condition,correct,final_choice,n_turns
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,apron,asym_adv,1,drawer,8
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,apron,asym_adv,0,hook,6
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,apron,asym_adv,1,drawer,6
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,apron,asym_adv,0,hook,4
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,apron,asym_adv,1,drawer,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,badge,asym_adv,0,hook,12
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,badge,asym_adv,1,desk,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,badge,asym_adv,1,desk,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,badge,asym_adv,1,desk,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,badge,asym_adv,0,hook,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,ball,asym_adv,1,garage,6
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,ball,asym_adv,1,garage,4
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,ball,asym_adv,1,garage,8
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,ball,asym_adv,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,ball,asym_adv,0,yard,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,belt,asym_adv,1,chair,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,belt,asym_adv,1,chair,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,belt,asym_adv,1,chair,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,belt,asym_adv,0,closet,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,belt,asym_adv,1,chair,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,binder,asym_adv,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,binder,asym_adv,0,shelf,8
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,binder,asym_adv,0,shelf,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,binder,asym_adv,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,binder,asym_adv,0,,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,blanket,asym_adv,1,bed,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,blanket,asym_adv,1,bed,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,blanket,asym_adv,1,bed,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,blanket,asym_adv,0,chair,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,blanket,asym_adv,0,,2
DeepSeek-R1-Distill-Llama-8B × DeepSeek-R1-Distill-Llama-8B,book,asym_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,book,asym_adv,1,shelf,14
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,book,asym_adv,1,shelf,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,book,asym_adv,0,bag,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,book,asym_adv,0,,2
Qwen3-8B × Qwen3-8B,book,asym_adv,1,shelf,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,book,asym_adv,0,,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,bottle,asym_adv,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,bottle,asym_adv,0,fridge,4
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,bottle,asym_adv,1,counter,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,bottle,asym_adv,0,fridge,4
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,bottle,asym_adv,1,counter,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,bowl,asym_adv,0,counter,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,bowl,asym_adv,1,table,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,bowl,asym_adv,0,counter,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,bowl,asym_adv,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,bowl,asym_adv,0,counter,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,broom,asym_adv,1,closet,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,broom,asym_adv,1,closet,6
