case_type,pair,model_1,model_2,scenario,episode_idx,n_turns,final_choice,has_leave,has_prompt_leak,has_repetition,has_max_turns,has_guide_leave,has_guide_goal_fail
mutual_coop_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,key_in_boxes,0,16,,0,1,1,1,0,0
mutual_incoh_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,wallet_desk_drawer,11,16,,0,1,1,1,0,1
mutual_coop_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,package_door_porch,12,16,,0,1,1,1,0,0
conflict_coop_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,package_door_porch,15,16,,0,1,1,1,0,0
mutual_incoh_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,package_door_porch,17,16,,0,1,1,1,0,0
mutual_coop_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,phone_table_couch,18,16,,0,1,1,1,0,0
conflict_coop_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,phone_table_couch,21,16,,0,1,1,1,0,0
mutual_incoh_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,phone_table_couch,23,16,,0,1,1,1,0,0
mutual_coop_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,book_shelf_bag,24,16,,0,1,1,1,0,0
conflict_coop_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,book_shelf_bag,27,16,,0,1,1,1,0,0
mutual_incoh_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,book_shelf_bag,29,16,,0,1,1,1,0,0
mutual_coop_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,glasses_counter_shelf,30,16,,0,1,1,1,0,0
conflict_coop_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,glasses_counter_shelf,33,16,,0,0,1,1,0,0
mutual_incoh_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,glasses_counter_shelf,35,16,,0,1,1,1,0,0
mutual_coop_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,hat_hook_chair,36,16,,0,1,1,1,0,0
conflict_coop_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,key_in_boxes,3,16,,0,1,1,1,0,0
mutual_incoh_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,key_in_boxes,5,16,,0,1,1,1,0,1
mutual_coop_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,wallet_desk_drawer,6,16,,0,1,1,1,0,0
conflict_coop_fail,DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,wallet_desk_drawer,9,14,,1,1,1,0,0,0
mutual_incoh_success,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,flashlight_drawer_shelf,101,16,drawer,1,0,0,1,0,0
mutual_coop_fail,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,scissors_cabinet_desk,102,6,cabinet,1,0,0,0,0,0
conflict_coop_fail,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,scissors_cabinet_desk,105,14,cabinet,1,0,1,0,0,0
conflict_adv_success,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,scissors_cabinet_desk,106,14,desk,1,0,0,0,0,0
mutual_incoh_success,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,scissors_cabinet_desk,107,12,desk,1,0,0,0,0,0
mutual_coop_fail,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,toy_bin_rug,108,16,,0,0,1,1,0,0
conflict_adv_success,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,wallet_desk_drawer,10,10,drawer,1,0,0,0,0,0
conflict_coop_fail,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,toy_bin_rug,111,8,rug,1,0,0,0,0,0
conflict_adv_success,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,toy_bin_rug,112,10,bin,1,0,0,0,0,0
mutual_incoh_fail,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,toy_bin_rug,113,14,rug,1,0,0,0,0,0
mutual_coop_fail,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,watch_dresser_nightstand,114,9,,0,0,0,0,0,0
conflict_coop_fail,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,watch_dresser_nightstand,117,8,dresser,1,0,0,0,0,0
mutual_incoh_success,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,watch_dresser_nightstand,119,12,nightstand,1,0,1,0,0,0
mutual_incoh_success,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,wallet_desk_drawer,11,10,drawer,1,0,0,0,0,0
mutual_coop_fail,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,candle_mantle_table,120,16,,0,0,1,1,0,0
conflict_coop_fail,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,candle_mantle_table,123,10,table,1,0,0,0,0,0
conflict_adv_success,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,candle_mantle_table,124,10,mantle,1,0,0,0,0,0
mutual_incoh_success,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,candle_mantle_table,125,14,mantle,1,0,0,0,0,0
mutual_coop_fail,Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,fork_drawer_counter,126,14,drawer,1,0,0,0,0,0
