model,role,n_episodes,accuracy,guide_goal_failure_rate,guide_says_leave_rate,no_leave_rate,null_choice_rate,ambiguous_leave_rate,substring_match_rate,prompt_leakage_rate,cascade_leakage_rate,repetitive_loop_rate,max_turns_hit_rate,single_word_seeker_rate,multi_leave_rate,ava_parroting_rate,parenthetical_aside_rate,meta_commentary_rate
DeepSeek-R1-Distill-Llama-8B,guide,37,0.0000,0.1081,0.0000,0.8919,0.9730,0.0000,0.0270,0.9189,0.0000,0.9189,0.8919,0.0541,0.0000,0.5946,0.0000,0.0000
DeepSeek-R1-Distill-Llama-8B,seeker,37,0.0000,0.1081,0.0000,0.8919,0.9730,0.0000,0.0270,0.9189,0.0000,0.9189,0.8919,0.0541,0.0000,0.5946,0.0000,0.0000
Meta-Llama-3-8B-Instruct,guide,600,0.4600,0.0000,0.0000,0.2367,0.2800,0.0317,0.0250,0.0050,0.0000,0.2200,0.3183,0.0000,0.0000,0.0017,0.0000,0.0000
Meta-Llama-3-8B-Instruct,seeker,600,0.4600,0.0000,0.0000,0.2367,0.2800,0.0317,0.0250,0.0050,0.0000,0.2200,0.3183,0.0000,0.0000,0.0017,0.0000,0.0000
Mistral-7B-Instruct-v0.2,guide,600,0.6917,0.0000,0.0050,0.0183,0.0217,0.0183,0.0167,0.0000,0.0000,0.0333,0.0383,0.0000,0.0367,0.0000,0.0033,0.0000
Mistral-7B-Instruct-v0.2,seeker,600,0.6917,0.0000,0.0050,0.0183,0.0217,0.0183,0.0167,0.0000,0.0000,0.0333,0.0383,0.0000,0.0367,0.0000,0.0033,0.0000
Mistral-7B-Instruct-v0.3,guide,600,0.7000,0.0033,0.0717,0.0017,0.1283,0.0483,0.0200,0.0050,0.0000,0.0817,0.1900,0.0000,0.3217,0.0133,0.0183,0.0017
Mistral-7B-Instruct-v0.3,seeker,600,0.7000,0.0033,0.0717,0.0017,0.1283,0.0483,0.0200,0.0050,0.0000,0.0817,0.1900,0.0000,0.3217,0.0133,0.0183,0.0017
Qwen2.5-7B-Instruct,guide,600,0.5467,0.1150,0.0000,0.0133,0.1150,0.0250,0.0133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qwen2.5-7B-Instruct,seeker,600,0.5467,0.1150,0.0000,0.0133,0.1150,0.0250,0.0133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qwen3-8B,guide,45,0.8222,0.0444,0.0000,0.0667,0.0889,0.0222,0.0000,0.0000,0.0000,0.1333,0.0667,0.1111,0.0000,0.0222,0.0000,0.0000
Qwen3-8B,seeker,45,0.8222,0.0444,0.0000,0.0667,0.0889,0.0222,0.0000,0.0000,0.0000,0.1333,0.0667,0.1111,0.0000,0.0222,0.0000,0.0000
Qwen_Qwen3-14B,guide,10,0.5000,0.1000,0.0000,0.1000,0.3000,0.0000,0.0000,0.0000,0.0000,0.3000,0.1000,0.2000,0.0000,0.0000,0.0000,0.0000
Qwen_Qwen3-14B,seeker,10,0.5000,0.1000,0.0000,0.1000,0.3000,0.0000,0.0000,0.0000,0.0000,0.3000,0.1000,0.2000,0.0000,0.0000,0.0000,0.0000
allenai_OLMo-3-7B-Instruct,guide,600,0.2067,0.4317,0.0000,0.3600,0.7000,0.0067,0.0150,0.0000,0.0000,0.3933,0.3667,0.3333,0.0000,0.0600,0.0000,0.0000
allenai_OLMo-3-7B-Instruct,seeker,600,0.2067,0.4317,0.0000,0.3600,0.7000,0.0067,0.0150,0.0000,0.0000,0.3933,0.3667,0.3333,0.0000,0.0600,0.0000,0.0000
