pair,scenario,condition,correct,final_choice,n_turns
gemini-3.1-pro-preview × gemini-3.1-pro-preview,apron,asym_adv,0,hook,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,badge,asym_adv,1,desk,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,ball,asym_adv,1,garage,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,belt,asym_adv,1,chair,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,binder,asym_adv,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,blanket,asym_adv,1,bed,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,book,asym_adv,1,shelf,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,bottle,asym_adv,1,counter,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,bowl,asym_adv,1,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,broom,asym_adv,1,closet,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,brush,asym_adv,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,bulb,asym_adv,0,shelf,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cable,asym_adv,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,camera,asym_adv,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,candle,asym_adv,1,mantle,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,chain,asym_adv,1,hook,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,chalk,asym_adv,1,box,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,charger,asym_adv,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,clip,asym_adv,0,tray,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,clipboard,asym_adv,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cloth,asym_adv,1,basket,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,coin,asym_adv,1,pocket,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,comb,asym_adv,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cord,asym_adv,1,basket,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cup,asym_adv,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,dice,asym_adv,1,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,drill,asym_adv,1,bench,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,fan,asym_adv,0,floor,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,film,asym_adv,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,flag,asym_adv,1,pole,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,flashlight,asym_adv,1,drawer,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,flask,asym_adv,1,locker,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,fork,asym_adv,0,drawer,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,frame,asym_adv,1,wall,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,glasses,asym_adv,0,counter,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,globe,asym_adv,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,glove,asym_adv,0,pocket,4
