pair,model_1,model_2,condition,n_episodes,accuracy,guide_goal_failure_rate,guide_says_leave_rate,no_leave_rate,null_choice_rate,ambiguous_leave_rate,substring_match_rate,prompt_leakage_rate,cascade_leakage_rate,repetitive_loop_rate,max_turns_hit_rate,single_word_seeker_rate,multi_leave_rate,ava_parroting_rate,parenthetical_aside_rate,meta_commentary_rate
gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,asym_A1_expert,100,0.0100,0.0000,0.0000,0.0000,0.0000,0.0100,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,asym_A2_unreliable,100,0.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,asym_A3_incentivized,100,1.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,asym_A4_malicious,100,1.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,asym_B1_forgetting,100,0.0100,0.0000,0.0000,0.0000,0.0000,0.0100,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,asym_B2_intervening,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,asym_B3_poor_vis,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,asym_C_cooperate,100,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,conflict_A1_expert,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,conflict_A2_unreliable,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,conflict_A3_incentivized,100,1.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
