stage,condition,n_total,n_valid,n_null,null_rate,accuracy,follows_mia_rate
OLMo-2-1124-7B-Base,mutual_C_cooperate,100,76,24,0.24,0.06578947368421052,0.06578947368421052
OLMo-2-1124-7B-Base,mutual_A1_expert,100,78,22,0.22,0.9871794871794872,0.01282051282051282
OLMo-2-1124-7B-Base,mutual_A2_unreliable,100,90,10,0.1,0.8777777777777778,0.12222222222222222
OLMo-2-1124-7B-Base,mutual_A3_incentivized,100,82,18,0.18,0.8292682926829268,0.17073170731707318
OLMo-2-1124-7B-Base,mutual_A4_malicious,100,97,3,0.03,0.979381443298969,0.020618556701030927
OLMo-2-1124-7B-Base,mutual_B1_forgetting,100,90,10,0.1,0.9444444444444444,0.05555555555555555
OLMo-2-1124-7B-Base,mutual_B2_intervening,100,89,11,0.11,0.8539325842696629,0.14606741573033707
OLMo-2-1124-7B-Base,mutual_B3_poor_vis,100,88,12,0.12,0.8977272727272727,0.10227272727272728
OLMo-2-1124-7B-Base,asym_C_cooperate,100,66,34,0.34,0.030303030303030304,0.030303030303030304
OLMo-2-1124-7B-Base,asym_A1_expert,100,50,50,0.5,0.76,0.24
OLMo-2-1124-7B-Base,asym_A2_unreliable,100,80,20,0.2,0.925,0.075
OLMo-2-1124-7B-Base,asym_A3_incentivized,100,39,61,0.61,0.9487179487179487,0.05128205128205128
OLMo-2-1124-7B-Base,asym_A4_malicious,100,65,35,0.35,0.9230769230769231,0.07692307692307693
OLMo-2-1124-7B-Base,asym_B1_forgetting,100,61,39,0.39,0.9344262295081968,0.06557377049180328
OLMo-2-1124-7B-Base,asym_B2_intervening,100,68,32,0.32,0.9558823529411765,0.04411764705882353
OLMo-2-1124-7B-Base,asym_B3_poor_vis,100,50,50,0.5,0.7,0.3
OLMo-2-1124-7B-Base,conflict_C_cooperate,100,84,16,0.16,0.047619047619047616,0.047619047619047616
OLMo-2-1124-7B-Base,conflict_A1_expert,100,81,19,0.19,0.9135802469135802,0.08641975308641975
OLMo-2-1124-7B-Base,conflict_A2_unreliable,100,82,18,0.18,0.9024390243902439,0.0975609756097561
OLMo-2-1124-7B-Base,conflict_A3_incentivized,100,64,36,0.36,0.890625,0.109375
OLMo-2-1124-7B-Base,conflict_A4_malicious,100,79,21,0.21,0.8987341772151899,0.10126582278481013
OLMo-2-1124-7B-Base,conflict_B1_forgetting,100,77,23,0.23,0.974025974025974,0.025974025974025976
OLMo-2-1124-7B-Base,conflict_B2_intervening,100,81,19,0.19,0.9259259259259259,0.07407407407407407
OLMo-2-1124-7B-Base,conflict_B3_poor_vis,100,77,23,0.23,0.935064935064935,0.06493506493506493
OLMo-2-1124-7B-SFT,mutual_C_cooperate,100,95,5,0.05,0.9473684210526315,0.9473684210526315
OLMo-2-1124-7B-SFT,mutual_A1_expert,100,100,0,0.0,0.48,0.52
OLMo-2-1124-7B-SFT,mutual_A2_unreliable,100,100,0,0.0,0.96,0.04
OLMo-2-1124-7B-SFT,mutual_A3_incentivized,100,91,9,0.09,0.8571428571428571,0.14285714285714285
OLMo-2-1124-7B-SFT,mutual_A4_malicious,100,97,3,0.03,0.9175257731958762,0.08247422680412371
OLMo-2-1124-7B-SFT,mutual_B1_forgetting,100,100,0,0.0,0.56,0.44
OLMo-2-1124-7B-SFT,mutual_B2_intervening,100,99,1,0.01,0.5858585858585859,0.41414141414141414
OLMo-2-1124-7B-SFT,mutual_B3_poor_vis,100,97,3,0.03,0.6907216494845361,0.30927835051546393
OLMo-2-1124-7B-SFT,asym_C_cooperate,100,98,2,0.02,0.9489795918367347,0.9489795918367347
OLMo-2-1124-7B-SFT,asym_A1_expert,100,97,3,0.03,0.030927835051546393,0.9690721649484536
OLMo-2-1124-7B-SFT,asym_A2_unreliable,100,96,4,0.04,0.7291666666666666,0.2708333333333333
OLMo-2-1124-7B-SFT,asym_A3_incentivized,100,97,3,0.03,0.29896907216494845,0.7010309278350515
OLMo-2-1124-7B-SFT,asym_A4_malicious,100,96,4,0.04,0.4479166666666667,0.5520833333333334
OLMo-2-1124-7B-SFT,asym_B1_forgetting,100,95,5,0.05,0.042105263157894736,0.9578947368421052
OLMo-2-1124-7B-SFT,asym_B2_intervening,100,97,3,0.03,0.041237113402061855,0.9587628865979382
OLMo-2-1124-7B-SFT,asym_B3_poor_vis,100,95,5,0.05,0.07368421052631578,0.9263157894736842
OLMo-2-1124-7B-SFT,conflict_C_cooperate,100,99,1,0.01,0.5050505050505051,0.5050505050505051
OLMo-2-1124-7B-SFT,conflict_A1_expert,100,95,5,0.05,0.021052631578947368,0.9789473684210527
OLMo-2-1124-7B-SFT,conflict_A2_unreliable,100,99,1,0.01,0.6262626262626263,0.37373737373737376
OLMo-2-1124-7B-SFT,conflict_A3_incentivized,100,97,3,0.03,0.5051546391752577,0.4948453608247423
OLMo-2-1124-7B-SFT,conflict_A4_malicious,100,97,3,0.03,0.4329896907216495,0.5670103092783505
OLMo-2-1124-7B-SFT,conflict_B1_forgetting,100,99,1,0.01,0.050505050505050504,0.9494949494949495
OLMo-2-1124-7B-SFT,conflict_B2_intervening,100,94,6,0.06,0.06382978723404255,0.9361702127659575
OLMo-2-1124-7B-SFT,conflict_B3_poor_vis,100,97,3,0.03,0.16494845360824742,0.8350515463917526
OLMo-2-1124-7B-DPO,mutual_C_cooperate,100,99,1,0.01,0.9191919191919192,0.9191919191919192
OLMo-2-1124-7B-DPO,mutual_A1_expert,100,100,0,0.0,0.61,0.39
OLMo-2-1124-7B-DPO,mutual_A2_unreliable,100,100,0,0.0,0.96,0.04
OLMo-2-1124-7B-DPO,mutual_A3_incentivized,100,100,0,0.0,0.85,0.15
OLMo-2-1124-7B-DPO,mutual_A4_malicious,100,99,1,0.01,0.9191919191919192,0.08080808080808081
OLMo-2-1124-7B-DPO,mutual_B1_forgetting,100,100,0,0.0,0.66,0.34
OLMo-2-1124-7B-DPO,mutual_B2_intervening,100,100,0,0.0,0.71,0.29
OLMo-2-1124-7B-DPO,mutual_B3_poor_vis,100,100,0,0.0,0.81,0.19
OLMo-2-1124-7B-DPO,asym_C_cooperate,100,100,0,0.0,0.93,0.93
OLMo-2-1124-7B-DPO,asym_A1_expert,100,100,0,0.0,0.01,0.99
OLMo-2-1124-7B-DPO,asym_A2_unreliable,100,100,0,0.0,0.76,0.24
OLMo-2-1124-7B-DPO,asym_A3_incentivized,100,97,3,0.03,0.20618556701030927,0.7938144329896907
OLMo-2-1124-7B-DPO,asym_A4_malicious,100,93,7,0.07,0.6774193548387096,0.3225806451612903
OLMo-2-1124-7B-DPO,asym_B1_forgetting,100,98,2,0.02,0.04081632653061224,0.9591836734693877
OLMo-2-1124-7B-DPO,asym_B2_intervening,100,100,0,0.0,0.03,0.97
OLMo-2-1124-7B-DPO,asym_B3_poor_vis,100,99,1,0.01,0.08080808080808081,0.9191919191919192
OLMo-2-1124-7B-DPO,conflict_C_cooperate,100,100,0,0.0,0.39,0.39
OLMo-2-1124-7B-DPO,conflict_A1_expert,100,100,0,0.0,0.13,0.87
OLMo-2-1124-7B-DPO,conflict_A2_unreliable,100,100,0,0.0,0.7,0.3
OLMo-2-1124-7B-DPO,conflict_A3_incentivized,100,98,2,0.02,0.6224489795918368,0.37755102040816324
OLMo-2-1124-7B-DPO,conflict_A4_malicious,100,100,0,0.0,0.63,0.37
OLMo-2-1124-7B-DPO,conflict_B1_forgetting,100,99,1,0.01,0.1717171717171717,0.8282828282828283
OLMo-2-1124-7B-DPO,conflict_B2_intervening,100,95,5,0.05,0.29473684210526313,0.7052631578947368
OLMo-2-1124-7B-DPO,conflict_B3_poor_vis,100,97,3,0.03,0.30927835051546393,0.6907216494845361
OLMo-2-1124-7B-RLVR-step60,mutual_C_cooperate,100,99,1,0.01,0.9292929292929293,0.9292929292929293
OLMo-2-1124-7B-RLVR-step60,mutual_A1_expert,100,99,1,0.01,0.5555555555555556,0.4444444444444444
OLMo-2-1124-7B-RLVR-step60,mutual_A2_unreliable,100,100,0,0.0,0.97,0.03
OLMo-2-1124-7B-RLVR-step60,mutual_A3_incentivized,100,100,0,0.0,0.86,0.14
OLMo-2-1124-7B-RLVR-step60,mutual_A4_malicious,100,100,0,0.0,0.89,0.11
OLMo-2-1124-7B-RLVR-step60,mutual_B1_forgetting,100,100,0,0.0,0.57,0.43
OLMo-2-1124-7B-RLVR-step60,mutual_B2_intervening,100,100,0,0.0,0.66,0.34
OLMo-2-1124-7B-RLVR-step60,mutual_B3_poor_vis,100,100,0,0.0,0.75,0.25
OLMo-2-1124-7B-RLVR-step60,asym_C_cooperate,100,100,0,0.0,0.96,0.96
OLMo-2-1124-7B-RLVR-step60,asym_A1_expert,100,99,1,0.01,0.030303030303030304,0.9696969696969697
OLMo-2-1124-7B-RLVR-step60,asym_A2_unreliable,100,98,2,0.02,0.7857142857142857,0.21428571428571427
OLMo-2-1124-7B-RLVR-step60,asym_A3_incentivized,100,98,2,0.02,0.30612244897959184,0.6938775510204082
OLMo-2-1124-7B-RLVR-step60,asym_A4_malicious,100,98,2,0.02,0.673469387755102,0.32653061224489793
OLMo-2-1124-7B-RLVR-step60,asym_B1_forgetting,100,99,1,0.01,0.030303030303030304,0.9696969696969697
OLMo-2-1124-7B-RLVR-step60,asym_B2_intervening,100,100,0,0.0,0.03,0.97
OLMo-2-1124-7B-RLVR-step60,asym_B3_poor_vis,100,99,1,0.01,0.0707070707070707,0.9292929292929293
OLMo-2-1124-7B-RLVR-step60,conflict_C_cooperate,100,99,1,0.01,0.5858585858585859,0.5858585858585859
OLMo-2-1124-7B-RLVR-step60,conflict_A1_expert,100,99,1,0.01,0.0707070707070707,0.9292929292929293
OLMo-2-1124-7B-RLVR-step60,conflict_A2_unreliable,100,99,1,0.01,0.6868686868686869,0.31313131313131315
