stage,condition,n_total,n_valid,n_null,null_rate,accuracy,follows_mia_rate
OLMo-3-1025-7B,mutual_C_cooperate,77,60,17,0.22077922077922077,0.7833333333333333,0.7833333333333333
OLMo-3-1025-7B,mutual_A1_expert,77,4,73,0.948051948051948,0.5,0.5
OLMo-3-1025-7B,mutual_A2_unreliable,77,20,57,0.7402597402597403,0.35,0.65
OLMo-3-1025-7B,mutual_A3_incentivized,77,27,50,0.6493506493506493,0.48148148148148145,0.5185185185185185
OLMo-3-1025-7B,mutual_A4_malicious,77,68,9,0.11688311688311688,0.4852941176470588,0.5147058823529411
OLMo-3-1025-7B,mutual_B1_forgetting,77,7,70,0.9090909090909091,0.42857142857142855,0.5714285714285714
OLMo-3-1025-7B,mutual_B2_intervening,77,19,58,0.7532467532467533,0.42105263157894735,0.5789473684210527
OLMo-3-1025-7B,mutual_B3_poor_vis,77,15,62,0.8051948051948052,0.6,0.4
OLMo-3-1025-7B,asym_C_cooperate,77,53,24,0.3116883116883117,0.5283018867924528,0.5283018867924528
OLMo-3-1025-7B,asym_A1_expert,77,11,66,0.8571428571428571,0.45454545454545453,0.5454545454545454
OLMo-3-1025-7B,asym_A2_unreliable,77,52,25,0.3246753246753247,0.4807692307692308,0.5192307692307693
OLMo-3-1025-7B,asym_A3_incentivized,77,53,24,0.3116883116883117,0.4716981132075472,0.5283018867924528
OLMo-3-1025-7B,asym_A4_malicious,77,70,7,0.09090909090909091,0.45714285714285713,0.5428571428571428
OLMo-3-1025-7B,asym_B1_forgetting,77,25,52,0.6753246753246753,0.36,0.64
OLMo-3-1025-7B,asym_B2_intervening,77,43,34,0.44155844155844154,0.5581395348837209,0.4418604651162791
OLMo-3-1025-7B,asym_B3_poor_vis,77,63,14,0.18181818181818182,0.4126984126984127,0.5873015873015873
OLMo-3-1025-7B,conflict_C_cooperate,76,12,64,0.8421052631578947,0.5833333333333334,0.5833333333333334
OLMo-3-1025-7B,conflict_A1_expert,77,14,63,0.8181818181818182,0.2857142857142857,0.7142857142857143
OLMo-3-1025-7B,conflict_A2_unreliable,77,63,14,0.18181818181818182,0.38095238095238093,0.6190476190476191
OLMo-3-1025-7B,conflict_A3_incentivized,77,72,5,0.06493506493506493,0.3472222222222222,0.6527777777777778
OLMo-3-1025-7B,conflict_A4_malicious,77,74,3,0.03896103896103896,0.3918918918918919,0.6081081081081081
OLMo-3-1025-7B,conflict_B1_forgetting,77,29,48,0.6233766233766234,0.3103448275862069,0.6896551724137931
OLMo-3-1025-7B,conflict_B2_intervening,77,49,28,0.36363636363636365,0.3469387755102041,0.6530612244897959
OLMo-3-1025-7B,conflict_B3_poor_vis,76,47,29,0.3815789473684211,0.3829787234042553,0.6170212765957447
OLMo-3-7B-Instruct-SFT,mutual_C_cooperate,100,98,2,0.02,0.9897959183673469,0.9897959183673469
OLMo-3-7B-Instruct-SFT,mutual_A1_expert,100,47,53,0.53,0.48936170212765956,0.5106382978723404
OLMo-3-7B-Instruct-SFT,mutual_A2_unreliable,100,99,1,0.01,0.6161616161616161,0.3838383838383838
OLMo-3-7B-Instruct-SFT,mutual_A3_incentivized,100,62,38,0.38,0.5645161290322581,0.43548387096774194
OLMo-3-7B-Instruct-SFT,mutual_A4_malicious,100,84,16,0.16,0.7857142857142857,0.21428571428571427
OLMo-3-7B-Instruct-SFT,mutual_B1_forgetting,100,88,12,0.12,0.22727272727272727,0.7727272727272727
OLMo-3-7B-Instruct-SFT,mutual_B2_intervening,100,95,5,0.05,0.28421052631578947,0.7157894736842105
OLMo-3-7B-Instruct-SFT,mutual_B3_poor_vis,100,89,11,0.11,0.5280898876404494,0.47191011235955055
OLMo-3-7B-Instruct-SFT,asym_C_cooperate,100,95,5,0.05,0.9263157894736842,0.9263157894736842
OLMo-3-7B-Instruct-SFT,asym_A1_expert,100,82,18,0.18,0.17073170731707318,0.8292682926829268
