stage,condition,n_total,n_valid,n_null,null_rate,accuracy,follows_mia_rate
OLMo-3-7B-Think-SFT,mutual_C_cooperate,47,47,0,0.0,0.9787234042553191,0.9787234042553191
OLMo-3-7B-Think-SFT,mutual_A1_expert,48,48,0,0.0,0.1875,0.8125
OLMo-3-7B-Think-SFT,mutual_A2_unreliable,48,47,1,0.020833333333333332,0.9148936170212766,0.0851063829787234
OLMo-3-7B-Think-SFT,mutual_A3_incentivized,48,48,0,0.0,0.8125,0.1875
OLMo-3-7B-Think-SFT,mutual_A4_malicious,47,47,0,0.0,0.8723404255319149,0.1276595744680851
OLMo-3-7B-Think-SFT,mutual_B1_forgetting,47,47,0,0.0,0.40425531914893614,0.5957446808510638
OLMo-3-7B-Think-SFT,mutual_B2_intervening,47,46,1,0.02127659574468085,0.45652173913043476,0.5434782608695652
OLMo-3-7B-Think-SFT,mutual_B3_poor_vis,47,46,1,0.02127659574468085,0.3695652173913043,0.6304347826086957
OLMo-3-7B-Think-SFT,asym_C_cooperate,47,46,1,0.02127659574468085,0.9782608695652174,0.9782608695652174
OLMo-3-7B-Think-SFT,asym_A1_expert,47,47,0,0.0,0.0,1.0
OLMo-3-7B-Think-SFT,asym_A2_unreliable,47,46,1,0.02127659574468085,0.7608695652173914,0.2391304347826087
OLMo-3-7B-Think-SFT,asym_A3_incentivized,47,47,0,0.0,0.3829787234042553,0.6170212765957447
OLMo-3-7B-Think-SFT,asym_A4_malicious,47,46,1,0.02127659574468085,0.9347826086956522,0.06521739130434782
OLMo-3-7B-Think-SFT,asym_B1_forgetting,47,47,0,0.0,0.10638297872340426,0.8936170212765957
OLMo-3-7B-Think-SFT,asym_B2_intervening,47,46,1,0.02127659574468085,0.021739130434782608,0.9782608695652174
OLMo-3-7B-Think-SFT,asym_B3_poor_vis,47,45,2,0.0425531914893617,0.15555555555555556,0.8444444444444444
OLMo-3-7B-Think-SFT,conflict_C_cooperate,47,46,1,0.02127659574468085,0.8913043478260869,0.8913043478260869
OLMo-3-7B-Think-SFT,conflict_A1_expert,47,47,0,0.0,0.0425531914893617,0.9574468085106383
OLMo-3-7B-Think-SFT,conflict_A2_unreliable,47,46,1,0.02127659574468085,0.6086956521739131,0.391304347826087
OLMo-3-7B-Think-SFT,conflict_A3_incentivized,47,46,1,0.02127659574468085,0.2608695652173913,0.7391304347826086
OLMo-3-7B-Think-SFT,conflict_A4_malicious,47,46,1,0.02127659574468085,0.5869565217391305,0.41304347826086957
OLMo-3-7B-Think-SFT,conflict_B1_forgetting,47,47,0,0.0,0.14893617021276595,0.851063829787234
OLMo-3-7B-Think-SFT,conflict_B2_intervening,47,46,1,0.02127659574468085,0.15217391304347827,0.8478260869565217
OLMo-3-7B-Think-SFT,conflict_B3_poor_vis,47,45,2,0.0425531914893617,0.0,1.0
OLMo-3-7B-Think-DPO,mutual_C_cooperate,39,39,0,0.0,0.9743589743589743,0.9743589743589743
OLMo-3-7B-Think-DPO,mutual_A1_expert,39,39,0,0.0,0.1794871794871795,0.8205128205128205
OLMo-3-7B-Think-DPO,mutual_A2_unreliable,39,39,0,0.0,0.9230769230769231,0.07692307692307693
OLMo-3-7B-Think-DPO,mutual_A3_incentivized,39,39,0,0.0,0.7692307692307693,0.23076923076923078
OLMo-3-7B-Think-DPO,mutual_A4_malicious,39,39,0,0.0,0.8205128205128205,0.1794871794871795
OLMo-3-7B-Think-DPO,mutual_B1_forgetting,39,39,0,0.0,0.717948717948718,0.28205128205128205
OLMo-3-7B-Think-DPO,mutual_B2_intervening,39,39,0,0.0,0.41025641025641024,0.5897435897435898
OLMo-3-7B-Think-DPO,mutual_B3_poor_vis,39,39,0,0.0,0.4358974358974359,0.5641025641025641
OLMo-3-7B-Think-DPO,asym_C_cooperate,38,38,0,0.0,0.9736842105263158,0.9736842105263158
OLMo-3-7B-Think-DPO,asym_A1_expert,39,39,0,0.0,0.05128205128205128,0.9487179487179487
OLMo-3-7B-Think-DPO,asym_A2_unreliable,39,39,0,0.0,0.8205128205128205,0.1794871794871795
OLMo-3-7B-Think-DPO,asym_A3_incentivized,39,39,0,0.0,0.38461538461538464,0.6153846153846154
OLMo-3-7B-Think-DPO,asym_A4_malicious,39,39,0,0.0,0.9230769230769231,0.07692307692307693
OLMo-3-7B-Think-DPO,asym_B1_forgetting,38,38,0,0.0,0.02631578947368421,0.9736842105263158
OLMo-3-7B-Think-DPO,asym_B2_intervening,38,38,0,0.0,0.02631578947368421,0.9736842105263158
OLMo-3-7B-Think-DPO,asym_B3_poor_vis,38,38,0,0.0,0.21052631578947367,0.7894736842105263
OLMo-3-7B-Think-DPO,conflict_C_cooperate,38,38,0,0.0,0.9473684210526315,0.9473684210526315
OLMo-3-7B-Think-DPO,conflict_A1_expert,38,38,0,0.0,0.02631578947368421,0.9736842105263158
OLMo-3-7B-Think-DPO,conflict_A2_unreliable,38,38,0,0.0,0.5263157894736842,0.47368421052631576
OLMo-3-7B-Think-DPO,conflict_A3_incentivized,38,37,1,0.02631578947368421,0.13513513513513514,0.8648648648648649
OLMo-3-7B-Think-DPO,conflict_A4_malicious,38,37,1,0.02631578947368421,0.5675675675675675,0.43243243243243246
OLMo-3-7B-Think-DPO,conflict_B1_forgetting,38,37,1,0.02631578947368421,0.05405405405405406,0.9459459459459459
OLMo-3-7B-Think-DPO,conflict_B2_intervening,38,38,0,0.0,0.15789473684210525,0.8421052631578947
OLMo-3-7B-Think-DPO,conflict_B3_poor_vis,38,37,1,0.02631578947368421,0.02702702702702703,0.972972972972973
OLMo-3-7B-Think-RLVR-step1375,mutual_C_cooperate,36,36,0,0.0,0.9444444444444444,0.9444444444444444
OLMo-3-7B-Think-RLVR-step1375,mutual_A1_expert,36,36,0,0.0,0.1388888888888889,0.8611111111111112
OLMo-3-7B-Think-RLVR-step1375,mutual_A2_unreliable,36,36,0,0.0,0.9166666666666666,0.08333333333333333
OLMo-3-7B-Think-RLVR-step1375,mutual_A3_incentivized,36,36,0,0.0,0.7777777777777778,0.2222222222222222
OLMo-3-7B-Think-RLVR-step1375,mutual_A4_malicious,36,36,0,0.0,0.9722222222222222,0.027777777777777776
OLMo-3-7B-Think-RLVR-step1375,mutual_B1_forgetting,36,36,0,0.0,0.6388888888888888,0.3611111111111111
OLMo-3-7B-Think-RLVR-step1375,mutual_B2_intervening,36,36,0,0.0,0.3333333333333333,0.6666666666666666
OLMo-3-7B-Think-RLVR-step1375,mutual_B3_poor_vis,36,36,0,0.0,0.25,0.75
OLMo-3-7B-Think-RLVR-step1375,asym_C_cooperate,36,36,0,0.0,1.0,1.0
OLMo-3-7B-Think-RLVR-step1375,asym_A1_expert,36,36,0,0.0,0.0,1.0
OLMo-3-7B-Think-RLVR-step1375,asym_A2_unreliable,36,36,0,0.0,0.6388888888888888,0.3611111111111111
OLMo-3-7B-Think-RLVR-step1375,asym_A3_incentivized,36,36,0,0.0,0.4722222222222222,0.5277777777777778
OLMo-3-7B-Think-RLVR-step1375,asym_A4_malicious,36,36,0,0.0,0.9722222222222222,0.027777777777777776
OLMo-3-7B-Think-RLVR-step1375,asym_B1_forgetting,36,36,0,0.0,0.027777777777777776,0.9722222222222222
