pattern,belief,n_total,n_valid,n_correct,accuracy,mean_turns
The X is [prep] Y,shared_truth,100,99,99,1.0,2.0
The X is [prep] Y,ignorance,100,99,99,1.0,2.0
The X is [prep] Y,false_belief,100,97,89,0.9175257731958762,3.78
The X you're looking for is Y,shared_truth,100,99,99,1.0,2.0
The X you're looking for is Y,ignorance,100,99,99,1.0,2.0
The X you're looking for is Y,false_belief,100,95,82,0.8631578947368421,3.71
If you're looking for X,shared_truth,100,99,99,1.0,2.04
If you're looking for X,ignorance,100,99,99,1.0,2.0
If you're looking for X,false_belief,100,97,92,0.9484536082474226,3.76
Are you looking for X?,shared_truth,100,99,99,1.0,2.04
Are you looking for X?,ignorance,100,99,99,1.0,2.02
Are you looking for X?,false_belief,100,98,94,0.9591836734693877,3.7
Looking for X?,shared_truth,100,99,99,1.0,2.04
Looking for X?,ignorance,100,99,99,1.0,2.0
Looking for X?,false_belief,100,97,90,0.9278350515463918,3.62
I saw X on/in Y,shared_truth,100,99,99,1.0,2.02
I saw X on/in Y,ignorance,100,99,99,1.0,2.0
I saw X on/in Y,false_belief,100,98,95,0.9693877551020408,3.63
"Vocative (Ava/Hey Ava, ...)",shared_truth,100,99,99,1.0,2.02
"Vocative (Ava/Hey Ava, ...)",ignorance,100,99,99,1.0,2.02
"Vocative (Ava/Hey Ava, ...)",false_belief,100,99,95,0.9595959595959596,3.66
Your X is on/in Y,shared_truth,100,99,99,1.0,2.02
Your X is on/in Y,ignorance,100,99,99,1.0,2.02
Your X is on/in Y,false_belief,100,96,92,0.9583333333333334,3.46
I think X is in Y,shared_truth,100,99,99,1.0,2.12
I think X is in Y,ignorance,100,99,99,1.0,2.0
I think X is in Y,false_belief,100,95,76,0.8,4.28
If you need X,shared_truth,100,99,99,1.0,2.02
If you need X,ignorance,100,99,99,1.0,2.02
If you need X,false_belief,100,98,93,0.9489795918367347,3.3
Bare anaphoric (It's in Y),shared_truth,100,99,99,1.0,2.0
Bare anaphoric (It's in Y),ignorance,100,99,99,1.0,2.0
Bare anaphoric (It's in Y),false_belief,100,96,89,0.9270833333333334,3.44
Imperative (Check...),shared_truth,100,99,99,1.0,2.02
Imperative (Check...),ignorance,100,99,99,1.0,2.0
Imperative (Check...),false_belief,100,95,84,0.8842105263157894,3.47
"You're looking for X, right?",shared_truth,100,99,99,1.0,2.0
"You're looking for X, right?",ignorance,99,98,98,1.0,2.0202020202020203
"You're looking for X, right?",false_belief,100,97,90,0.9278350515463918,3.76
