pattern,episode,belief,no_leave,null_choice,max_turns_hit,repetitive_loop
Are you looking for X?,0,false_belief,False,False,False,False
Are you looking for X?,0,ignorance,False,False,False,False
Are you looking for X?,0,shared_truth,False,False,False,False
Are you looking for X?,10,false_belief,False,False,False,False
Are you looking for X?,10,ignorance,False,False,False,False
Are you looking for X?,10,shared_truth,False,False,False,False
Are you looking for X?,11,false_belief,False,False,False,False
Are you looking for X?,11,ignorance,False,False,False,False
Are you looking for X?,11,shared_truth,False,False,False,False
Are you looking for X?,12,false_belief,False,False,False,False
Are you looking for X?,12,ignorance,False,False,False,False
Are you looking for X?,12,shared_truth,False,False,False,False
Are you looking for X?,13,false_belief,False,False,False,False
Are you looking for X?,13,ignorance,False,False,False,False
Are you looking for X?,13,shared_truth,False,False,False,False
Are you looking for X?,14,false_belief,False,False,False,False
Are you looking for X?,14,ignorance,False,False,False,False
Are you looking for X?,14,shared_truth,False,False,False,False
Are you looking for X?,15,false_belief,False,False,False,False
Are you looking for X?,15,ignorance,False,False,False,False
Are you looking for X?,15,shared_truth,False,False,False,False
Are you looking for X?,16,false_belief,False,False,False,False
Are you looking for X?,16,ignorance,False,False,False,False
Are you looking for X?,16,shared_truth,False,False,False,False
Are you looking for X?,17,false_belief,False,False,False,False
Are you looking for X?,17,ignorance,False,False,False,False
Are you looking for X?,17,shared_truth,False,False,False,False
Are you looking for X?,18,false_belief,False,False,False,False
Are you looking for X?,18,ignorance,False,False,False,False
Are you looking for X?,18,shared_truth,False,False,False,False
Are you looking for X?,19,false_belief,False,False,False,False
Are you looking for X?,19,ignorance,False,False,False,False
Are you looking for X?,19,shared_truth,False,False,False,False
Are you looking for X?,1,false_belief,False,False,False,False
Are you looking for X?,1,ignorance,False,False,False,False
Are you looking for X?,1,shared_truth,False,False,False,False
Are you looking for X?,20,false_belief,False,False,False,False
Are you looking for X?,20,ignorance,False,False,False,False
Are you looking for X?,20,shared_truth,False,False,False,False
Are you looking for X?,21,false_belief,False,False,False,False
Are you looking for X?,21,ignorance,False,False,False,False
Are you looking for X?,21,shared_truth,False,False,False,False
Are you looking for X?,22,false_belief,False,False,False,False
Are you looking for X?,22,ignorance,False,False,False,False
Are you looking for X?,22,shared_truth,False,False,False,False
Are you looking for X?,23,false_belief,False,False,False,False
Are you looking for X?,23,ignorance,False,False,False,False
Are you looking for X?,23,shared_truth,False,False,False,False
Are you looking for X?,24,false_belief,False,False,False,False
Are you looking for X?,24,ignorance,False,False,False,False
Are you looking for X?,24,shared_truth,False,False,False,False
Are you looking for X?,25,false_belief,False,False,False,False
Are you looking for X?,25,ignorance,False,False,False,False
Are you looking for X?,25,shared_truth,False,False,False,False
Are you looking for X?,26,false_belief,False,False,False,False
Are you looking for X?,26,ignorance,False,False,False,False
Are you looking for X?,26,shared_truth,False,False,False,False
Are you looking for X?,27,false_belief,False,False,False,False
Are you looking for X?,27,ignorance,False,False,False,False
Are you looking for X?,27,shared_truth,False,False,False,False
Are you looking for X?,28,false_belief,False,False,False,False
Are you looking for X?,28,ignorance,False,False,False,False
Are you looking for X?,28,shared_truth,False,False,False,False
Are you looking for X?,29,false_belief,False,False,False,False
Are you looking for X?,29,ignorance,False,False,False,False
Are you looking for X?,29,shared_truth,False,False,False,False
Are you looking for X?,2,false_belief,False,False,False,False
Are you looking for X?,2,ignorance,False,False,False,False
Are you looking for X?,2,shared_truth,False,False,False,False
Are you looking for X?,30,false_belief,False,False,False,False
Are you looking for X?,30,ignorance,False,False,False,False
Are you looking for X?,30,shared_truth,False,False,False,False
Are you looking for X?,31,false_belief,False,False,False,False
Are you looking for X?,31,ignorance,False,False,False,False
Are you looking for X?,31,shared_truth,False,False,False,False
Are you looking for X?,32,false_belief,False,False,False,False
Are you looking for X?,32,ignorance,False,False,False,False
Are you looking for X?,32,shared_truth,False,False,False,False
Are you looking for X?,33,false_belief,False,False,False,False
Are you looking for X?,33,ignorance,False,False,False,False
Are you looking for X?,33,shared_truth,False,False,False,False
Are you looking for X?,34,false_belief,False,False,False,False
Are you looking for X?,34,ignorance,False,False,False,False
Are you looking for X?,34,shared_truth,False,False,False,False
Are you looking for X?,35,false_belief,False,False,False,False
Are you looking for X?,35,ignorance,False,False,False,False
Are you looking for X?,35,shared_truth,False,False,False,False
Are you looking for X?,36,false_belief,False,False,False,False
Are you looking for X?,36,ignorance,False,False,False,False
Are you looking for X?,36,shared_truth,False,False,False,False
Are you looking for X?,37,false_belief,False,False,False,False
